
C:\Users\nobleric\dev\ESL-Data>c:\Users\nobleric\dev\neo4j\bin\neo4jshell -c -v -path c:/Users/nobleric/dev/neo4j/data -file get-ci-ids.cql 

+------------------------------------------------------+
| x.full_node_name                             | ID(x) |
| "ukhacn504 cluster.via.novonet"              | 5660  |
| "ukhacn52 cluster.via.novonet"               | 5661  |
| "ukhacn529 cluster.via.novonet"              | 5662  |
| "ukhacn530 cluster.via.novonet"              | 5663  |
| "ukhacn533 cluster.via.novonet"              | 5664  |
| "ukhacn534 cluster.via.novonet"              | 5665  |
| "ukhacn535 cluster.via.novonet"              | 5666  |
| "ukhacnc01 cluster.via.novonet"              | 5667  |
| "ukhacnc02 cluster.via.novonet"              | 5668  |
| "ukhacnc03 cluster.via.novonet"              | 5669  |
| "ukhacnc05 cluster.via.novonet"              | 5670  |
| "ukhacnc06 cluster.via.novonet"              | 5671  |
| "ukhacnc07 cluster.via.novonet"              | 5672  |
| "ukhacnc08 cluster.via.novonet"              | 5673  |
| "ukhacnc09 cluster.via.novonet"              | 5674  |
| "ukhacnc10 cluster.via.novonet"              | 5675  |
| "ukhacnc11 cluster.via.novonet"              | 5676  |
| "ukhacnc13 cluster.via.novonet"              | 5677  |
| "ukhacnc14 cluster.via.novonet"              | 5678  |
| "ukhacnc15 cluster.via.novonet"              | 5679  |
| "ukhacnc21 cluster.via.novonet"              | 5680  |
| "ukhacnc23 cluster.via.novonet"              | 5681  |
| "ukhacnc25 cluster.via.novonet"              | 5682  |
| "ukhacnc26 cluster.via.novonet"              | 5683  |
| "ukhacnc27 cluster.via.novonet"              | 5684  |
| "ukhacnc28 cluster.via.novonet"              | 5685  |
| "ukhacnc29 cluster.via.novonet"              | 5686  |
| "ukhacnc30 cluster.via.novonet"              | 5687  |
| "ukhacnc31 cluster.via.novonet"              | 5688  |
| "ukhacnc32 cluster.via.novonet"              | 5689  |
| "ukhacnc33 cluster.via.novonet"              | 5690  |
| "ukhacnc34 cluster.via.novonet"              | 5691  |
| "ukhacnc35 cluster.via.novonet"              | 5692  |
| "ukhacnc36 cluster.via.novonet"              | 5693  |
| "ukhacnc37 cluster.via.novonet"              | 5694  |
| "ukhacnc39 cluster.via.novonet"              | 5695  |
| "ndass410.via.novonet"                       | 3776  |
| "ndass701.via.novonet"                       | 3777  |
| "ndasu151.ecs.com"                           | 3778  |
| "ndasu153.ecs.com"                           | 3779  |
| "ndccd410.via.novonet"                       | 3780  |
| "ndccd411.via.novonet"                       | 3781  |
| "ndccs410.via.novonet"                       | 3782  |
| "ndccs411.via.novonet"                       | 3783  |
| "ndcd210q.via.novonet"                       | 3784  |
| "ndcd210s.via.novonet"                       | 3785  |
| "ndcd310q.via.novonet"                       | 3786  |
| "ndcd310s.via.novonet"                       | 3787  |
| "ndcd410q.via.novonet"                       | 3788  |
| "ndcd410s.via.novonet"                       | 3789  |
| "ndcl200s.via.novonet"                       | 3790  |
| "ndcl201s.via.novonet"                       | 3791  |
| "ndcl202s.via.novonet"                       | 3792  |
| "ndcl203s.via.novonet"                       | 3793  |
| "ndcl204q.via.novonet"                       | 3794  |
| "ndcl205q.via.novonet"                       | 3795  |
| "ndcl206q.via.novonet"                       | 3796  |
| "ndcl207q.via.novonet"                       | 3797  |
| "ndcl208q.ecs.com"                           | 3798  |
| "ndcl209q.ecs.com"                           | 3799  |
| "ndcl210q.ecs.com"                           | 3800  |
| "ndcl211q.ecs.com"                           | 3801  |
| "ndcp400s.via.novonet"                       | 3802  |
| "ndcp401s.via.novonet"                       | 3803  |
| "ndcp402s.via.novonet"                       | 3804  |
| "ndcp403s.via.novonet"                       | 3805  |
| "ndcp404q.via.novonet"                       | 3806  |
| "ndcp405q.via.novonet"                       | 3807  |
| "ndcp406q.via.novonet"                       | 3808  |
| "ndcp407q.via.novonet"                       | 3809  |
| "ndcs210q.via.novonet"                       | 3810  |
| "ndcs210s.via.novonet"                       | 3811  |
| "ndcs310q.via.novonet"                       | 3812  |
| "ndcs310s.via.novonet"                       | 3813  |
| "ndcs410q.via.novonet"                       | 3814  |
| "ndcs410s.via.novonet"                       | 3815  |
| "ndcu150q.via.novonet"                       | 3816  |
| "ndcu152q.via.novonet"                       | 3817  |
| "ndcu154s.via.novonet"                       | 3818  |
| "ndcu156s.via.novonet"                       | 3819  |
| "ndcw501q.via.novonet"                       | 3820  |
| "ndcw503s.via.novonet"                       | 3821  |
| "ndcw505q.via.novonet"                       | 3822  |
| "ndhsd210.via.novonet"                       | 3823  |
| "ndhsd310.via.novonet"                       | 3824  |
| "ndhsd410.via.novonet"                       | 3825  |
| "ndhsd701.via.novonet"                       | 3826  |
| "ndhsl201.ecs.com"                           | 3827  |
| "ndhsl202.ecs.com"                           | 3828  |
| "ndhsl203.ecs.com"                           | 3829  |
| "ndhsl204.ecs.com"                           | 3830  |
| "ndhsl206.ecs.com"                           | 3831  |
| "ndhsp401.ecs.com"                           | 3832  |
| "ndhsp402.ecs.com"                           | 3833  |
| "ndhss210.via.novonet"                       | 3834  |
| "ndhss410.via.novonet"                       | 3835  |
| "ndhss701.via.novonet"                       | 3836  |
| "ndhsu151.ecs.com"                           | 3837  |
| "ndhsu153.ecs.com"                           | 3838  |
| "ndibd210.via.novonet"                       | 3839  |
| "ndrsl201.via.novonet"                       | 3936  |
| "ndrsl202.via.novonet"                       | 3937  |
| "ndrsl203.via.novonet"                       | 3938  |
| "ndrsl204.via.novonet"                       | 3939  |
| "ndrsp401.via.novonet"                       | 3940  |
| "ndrsp402.via.novonet"                       | 3941  |
| "ndrsu152.via.novonet"                       | 3942  |
| "ndrsu154.via.novonet"                       | 3943  |
| "ndssd210.via.novonet"                       | 3944  |
| "ndssd310.via.novonet"                       | 3945  |
| "ndssd410.via.novonet"                       | 3946  |
| "ndssd411.via.novonet"                       | 3947  |
| "ndssl201.via.novonet"                       | 3948  |
| "ndssl202.via.novonet"                       | 3949  |
| "ndssl203.via.novonet"                       | 3950  |
| "ndssl204.via.novonet"                       | 3951  |
| "ndssl205.via.novonet"                       | 3952  |
| "ndssl206.via.novonet"                       | 3953  |
| "ndssp401.via.novonet"                       | 3954  |
| "ndssp402.via.novonet"                       | 3955  |
| "ndssp403.via.novonet"                       | 3956  |
| "ndssp404.via.novonet"                       | 3957  |
| "ndssp405.via.novonet"                       | 3958  |
| "ndssp406.via.novonet"                       | 3959  |
| "ndssp407.via.novonet"                       | 3960  |
| "ndssp408.via.novonet"                       | 3961  |
| "ndsss210.via.novonet"                       | 3962  |
| "ndsss211.via.novonet"                       | 3963  |
| "ndsss310.via.novonet"                       | 3964  |
| "ndsss311.via.novonet"                       | 3965  |
| "ndsss410.via.novonet"                       | 3966  |
| "ndsss411.via.novonet"                       | 3967  |
| "ndqbs211.via.novonet"                       | 3904  |
| "ndqbs310.via.novonet"                       | 3905  |
| "ndqbs312.via.novonet"                       | 3906  |
| "ndqbs410.via.novonet"                       | 3907  |
| "ndqbs411.via.novonet"                       | 3908  |
| "ndqbu152.via.novonet"                       | 3909  |
| "ndqbu154.via.novonet"                       | 3910  |
| "ndrcd210.via.novonet"                       | 3911  |
| "ndrcd310.via.novonet"                       | 3912  |
| "ndrcd410.via.novonet"                       | 3913  |
| "ndrcs210.via.novonet"                       | 3914  |
| "ndrcs211.via.novonet"                       | 3915  |
| "ndrcs310.via.novonet"                       | 3916  |
| "ndrcs311.via.novonet"                       | 3917  |
| "ndrcs410.via.novonet"                       | 3918  |
| "ndrcs411.via.novonet"                       | 3919  |
| "ndrql201.via.novonet"                       | 3920  |
| "ndrql202.via.novonet"                       | 3921  |
| "ndrql203.via.novonet"                       | 3922  |
| "ndrql204.via.novonet"                       | 3923  |
| "ndrql205.via.novonet"                       | 3924  |
| "ndrql206.via.novonet"                       | 3925  |
| "ndrql207.via.novonet"                       | 3926  |
| "ndrql208.via.novonet"                       | 3927  |
| "ndrqp401.via.novonet"                       | 3928  |
| "ndrqp402.via.novonet"                       | 3929  |
| "ndrqp403.via.novonet"                       | 3930  |
| "ndrqp404.via.novonet"                       | 3931  |
| "ndrqu151.via.novonet"                       | 3932  |
| "ndrqu152.via.novonet"                       | 3933  |
| "ndrqu153.via.novonet"                       | 3934  |
| "ndrqu154.via.novonet"                       | 3935  |
| "ndqbp411.via.novonet"                       | 3872  |
| "ndqbp412.via.novonet"                       | 3873  |
| "ndqbp413.via.novonet"                       | 3874  |
| "ndqbp414.via.novonet"                       | 3875  |
| "ndqbp415.via.novonet"                       | 3876  |
| "ndqbp416.via.novonet"                       | 3877  |
| "ndqbp417.via.novonet"                       | 3878  |
| "ndqbp418.via.novonet"                       | 3879  |
| "ndqbp419.via.novonet"                       | 3880  |
| "ndqbp420.via.novonet"                       | 3881  |
| "ndqbp421.via.novonet"                       | 3882  |
| "ndqbp422.via.novonet"                       | 3883  |
| "ndqbp423.via.novonet"                       | 3884  |
| "ndqbp424.via.novonet"                       | 3885  |
| "ndqbp425.via.novonet"                       | 3886  |
| "ndqbp426.via.novonet"                       | 3887  |
| "ndqbp427.via.novonet"                       | 3888  |
| "ndqbp428.via.novonet"                       | 3889  |
| "ndqbp429.via.novonet"                       | 3890  |
| "ndqbp430.via.novonet"                       | 3891  |
| "ndqbp431.via.novonet"                       | 3892  |
| "ndqbp432.via.novonet"                       | 3893  |
| "ndqbp433.via.novonet"                       | 3894  |
| "ndqbp434.via.novonet"                       | 3895  |
| "ndqbp435.via.novonet"                       | 3896  |
| "ndqbp436.via.novonet"                       | 3897  |
| "ndqbp437.via.novonet"                       | 3898  |
| "ndqbp438.via.novonet"                       | 3899  |
| "ndqbp439.via.novonet"                       | 3900  |
| "ndqbp440.via.novonet"                       | 3901  |
| "ndqbp444.via.novonet"                       | 3902  |
| "ndqbs210.via.novonet"                       | 3903  |
| "ndibd310.via.novonet"                       | 3840  |
| "ndibd410.via.novonet"                       | 3841  |
| "ndibs210.via.novonet"                       | 3842  |
| "ndibs310.via.novonet"                       | 3843  |
| "ndibs410.via.novonet"                       | 3844  |
| "ndpvl151.via.novonet"                       | 3845  |
| "ndpvl152.via.novonet"                       | 3846  |
| "ndpvl153.via.novonet"                       | 3847  |
| "ndpvl154.via.novonet"                       | 3848  |
| "ndqbd210.via.novonet"                       | 3849  |
| "ndqbd310.via.novonet"                       | 3850  |
