
C:\Users\nobleric\dev\ESL-Data>c:\Users\nobleric\dev\neo4j\bin\neo4jshell -c -v -path c:/Users/nobleric/dev/neo4j/data -file os-types.cql 

+-------------------------------------------------------------------------------------------------------------------------+
| Solution                                                | Number_of_servers | OS_Types                                  |
| "aviva uk:blackberry enterprise services 10 prd hps"    | 1                 | ["Linux"]                                 |
| "aviva uk:radia deployment uat hps"                     | 1                 | ["Windows"]                               |
| "aviva uk:ccm prd hps(x)"                               | 3                 | ["Windows"]                               |
| "aviva uk:un sanctions (c6) prd hpp"                    | 1                 | ["z/OS"]                                  |
| "aviva uk:qas nearest dev hps(x)"                       | 1                 | ["Windows"]                               |
| "aviva uk:pvcs prd hps"                                 | 2                 | ["Windows"]                               |
| "aviva uk:prosper b2c life - tesco dev hps"             | 4                 | ["AIX","Other"]                           |
| "aviva uk:ukdi fast track renewals dev hpb"             | 7                 | ["Windows"]                               |
| "aviva uk:dave prd hpp"                                 | 1                 | ["z/OS"]                                  |
| "aviva uk:cyclops aprimo relationship mgt prd hpb"      | 1                 | ["Windows"]                               |
| "aviva uk:mainframe aviva france prd hpg"               | 7                 | ["z/OS"]                                  |
| "aviva uk:system arch catalog mgr (ai) prd hpg"         | 2                 | ["Windows"]                               |
| "aviva uk:aviva dr remedial tst hpb"                    | 13                | ["Other","AIX"]                           |
| "aviva uk:hardware management prd hpg(x)"               | 20                | ["AIX","Other"]                           |
| "aviva uk:oracle fin discoverer uat hpb"                | 5                 | ["AIX","Other"]                           |
| "aviva uk:gemini dev hpb"                               | 1                 | ["OS/400"]                                |
| "aviva uk:dell open manage prd hpb"                     | 1                 | ["Windows"]                               |
| "aviva uk:geocode conversion service prd hpg"           | 1                 | ["Windows"]                               |
| "aviva uk:life 70 ob norwich prd hpp"                   | 1                 | ["z/OS"]                                  |
| "aviva uk:mocca dev hps"                                | 1                 | ["Windows"]                               |
| "aviva uk:ukgi complaints prd hpp"                      | 1                 | ["z/OS"]                                  |
| "aviva uk:hp config dev hpb"                            | 1                 | ["Windows"]                               |
| "aviva uk:exceed campaign manager prd hpp"              | 1                 | ["z/OS"]                                  |
| "aviva uk:tam 6 (webseal) prd hpg"                      | 8                 | ["Other","AIX"]                           |
| "aviva uk:argus (ai) uat2 hpb"                          | 2                 | ["Windows"]                               |
| "aviva uk:rbom prd hpg"                                 | 1                 | ["z/OS"]                                  |
| "aviva uk:quest migrator prd hpb"                       | 1                 | ["Windows"]                               |
| "aviva uk:rules maintenance application prd hps"        | 3                 | ["Windows"]                               |
| "aviva uk:oracle hr tst hps"                            | 5                 | ["AIX","Other"]                           |
| "aviva uk:build management prd hps(x)"                  | 6                 | ["Windows"]                               |
| "aviva uk:cvs infrastructure norwich uki1 prd hps"      | 11                | ["Windows","VMWare"]                      |
| "aviva uk:memo prd hps"                                 | 2                 | ["Windows"]                               |
| "aviva uk:common esb (ukl) prv hpb"                     | 5                 | ["Linux"]                                 |
| "aviva uk:oracle hr pre hps"                            | 5                 | ["AIX","Other"]                           |
| "aviva uk:uniprint prd hps"                             | 2                 | ["Windows"]                               |
| "aviva uk:proxy management dev hpb"                     | 1                 | ["Windows"]                               |
| "aviva uk:aviva-shareprice dev hps"                     | 1                 | ["Windows"]                               |
| "aviva uk:midrange lmt prd hps"                         | 1                 | ["AIX"]                                   |
| "aviva uk:domain management prd hpb"                    | 36                | ["Windows"]                               |
| "aviva uk:barclays pwss cp prv hps"                     | 1                 | ["Windows"]                               |
| "aviva uk:assyst reporting prd hps"                     | 2                 | ["Windows"]                               |
| "aviva uk:bre (ukhe) dev2 hps"                          | 1                 | ["AIX"]                                   |
| "aviva uk:cheetah mail dev hpb"                         | 1                 | ["Windows"]                               |
| "aviva uk:cvs prophet01 uka2 pre hps"                   | 2                 | ["Windows"]                               |
| "aviva uk:ukdi rescue q&b prv hps"                      | 2                 | ["Windows"]                               |
| "aviva uk:ftii prd hpp(x)"                              | 5                 | ["z/OS"]                                  |
| "aviva uk:storage & backup prd hpg"                     | 1                 | ["Windows"]                               |
| "aviva uk:creditor lifestyle uat hpb"                   | 3                 | ["Windows"]                               |
| "aviva uk:total incident management - sps prd hpp"      | 1                 | ["z/OS"]                                  |
| "aviva uk:ukdi travel quote & buy tst hpb"              | 7                 | ["Windows"]                               |
| "aviva uk:fusion prd hps"                               | 1                 | ["Windows"]                               |
| "aviva uk:business objects (life) dev hpg"              | 11                | ["Windows"]                               |
| "aviva uk:webseries prd hpp"                            | 1                 | ["z/OS"]                                  |
| "aviva uk:npe portal uat1 hpb"                          | 2                 | ["Windows"]                               |
| "aviva uk:asc intranet tst hpb"                         | 3                 | ["Windows"]                               |
| "aviva uk:dave dev hps"                                 | 1                 | ["z/OS"]                                  |
| "aviva uk:message broker pre hpg"                       | 5                 | ["Windows","AIX","Other"]                 |
| "aviva uk:poet dev hps"                                 | 1                 | ["z/OS"]                                  |
| "aviva uk:storage & backup prd hps"                     | 51                | ["Windows","Linux","#UNDEFINED#","Other"] |
| "aviva uk:corpal prd hpg"                               | 1                 | ["z/OS"]                                  |
| "aviva uk:axis (ukl) pre hpg"                           | 2                 | ["Windows"]                               |
| "aviva uk:valuation phi prd hpg"                        | 1                 | ["z/OS"]                                  |
| "aviva uk:ads trn hpg"                                  | 2                 | ["AIX"]                                   |
| "aviva uk:tm1 eaf adjustments prd hps"                  | 2                 | ["Windows"]                               |
| "aviva uk:ibm license metric tool (ai) prd hps"         | 1                 | ["Windows"]                               |
| "aviva uk:hp data protector prd hps"                    | 14                | ["Other","Windows"]                       |
| "aviva uk:oracle fin isupp prd hpg"                     | 2                 | ["AIX"]                                   |
| "aviva uk:oracle hr discoverer prd hpg"                 | 2                 | ["AIX"]                                   |
| "aviva uk:lenci prd hpg"                                | 1                 | ["z/OS"]                                  |
| "aviva uk:exceed policy prd hpp(x)"                     | 5                 | ["z/OS"]                                  |
| "aviva uk:dq informatica (ukl) prd hps"                 | 1                 | ["AIX"]                                   |
| "aviva uk:corpdata prd hpp"                             | 1                 | ["z/OS"]                                  |
| "aviva uk:vio tst hpb"                                  | 6                 | ["Other","AIX"]                           |
| "aviva uk:agreement wps (ukl) pre hpg"                  | 4                 | ["AIX"]                                   |
| "aviva uk:agreement esb (ukl) uat hps"                  | 1                 | ["AIX"]                                   |
| "aviva uk:mosar prd hps"                                | 3                 | ["Windows"]                               |
| "aviva uk:jxml pre hps"                                 | 2                 | ["Windows"]                               |
| "aviva uk:your reports prd hpg"                         | 4                 | ["Windows"]                               |
| "aviva uk:nui data warehouse prd hpp"                   | 4                 | ["z/OS"]                                  |
| "aviva uk:prosper b2b life - rbsg sit hps"              | 2                 | ["AIX","Other"]                           |
| "aviva uk:agency master uat hps"                        | 1                 | ["z/OS"]                                  |
| "aviva uk:sas (ukgi) pre hpg"                           | 3                 | ["AIX","Other"]                           |
| "aviva uk:documentum prd hps"                           | 9                 | ["Windows","VMWare","Other"]              |
| "aviva uk:active directory (ai) dc im prd hpg"          | 5                 | ["Windows"]                               |
| "aviva uk:message broker uat hps(x)"                    | 2                 | ["z/OS"]                                  |
| "aviva uk:barclays pwss cp tst hpb"                     | 2                 | ["Windows"]                               |
| "aviva uk:insight prd hpb"                              | 1                 | ["Windows"]                               |
| "aviva uk:upp pricing datamarts dev hpg"                | 3                 | ["AIX","Other"]                           |
| "aviva uk:unisure prd hpg(x)"                           | 1                 | ["Other"]                                 |
| "aviva uk:home claims - cps prd hpp"                    | 5                 | ["z/OS"]                                  |
| "aviva uk:vca self service portal dev hpb"              | 7                 | ["Windows"]                               |
| "aviva uk:virtual management (ai) prd hpg"              | 1                 | ["VMWare"]                                |
| "aviva uk:lotus notes test hps"                         | 1                 | ["Windows"]                               |
| "aviva uk:claims history lookup uat hps"                | 1                 | ["z/OS"]                                  |
| "aviva uk:customer portal dev hps"                      | 2                 | ["Windows","AIX"]                         |
| "aviva uk:quad dev hps"                                 | 1                 | ["z/OS"]                                  |
| "aviva uk:mars prd hpp"                                 | 1                 | ["z/OS"]                                  |
| "aviva uk:oracle fin isupp pre hpb"                     | 4                 | ["AIX"]                                   |
| "aviva uk:ids prd hps"                                  | 1                 | ["Windows"]                               |
| "aviva uk:pac securenet prd hpg"                        | 1                 | ["Windows"]                               |
| "aviva uk:ecommerce single sign on sit hps"             | 7                 | ["Linux"]                                 |
| "aviva uk:sbc standby hps"                              | 3                 | ["Windows"]                               |
| "aviva uk:published service broker prd hpp"             | 6                 | ["z/OS"]                                  |
| "aviva uk:nud information warehouse tst hps"            | 3                 | ["z/OS"]                                  |
| "aviva uk:fum uat0 hps"                                 | 1                 | ["SunOS/Solaris"]                         |
| "aviva uk:hsbc travel cp pre hps"                       | 4                 | ["Windows"]                               |
| "aviva uk:cashrec prd hpg"                              | 1                 | ["Windows"]                               |
| "aviva uk:aviva firewall prd hpg"                       | 8                 | ["AIX","Other","#UNDEFINED#"]             |
| "aviva uk:mercury licence management prd hps"           | 1                 | ["Windows"]                               |
| "aviva uk:aqe magnum tst hpb"                           | 1                 | ["Windows"]                               |
| "aviva uk:ukdi internet prd hpb"                        | 1                 | ["Windows"]                               |
| "aviva uk:nightwatchman prd hpb"                        | 1                 | ["Windows"]                               |
| "aviva uk:bis/vpc prd hpg"                              | 2                 | ["Other"]                                 |
| "aviva uk:ae file transfer prd hpg"                     | 12                | ["AIX"]                                   |
| "aviva uk:odr uat3 hpb"                                 | 1                 | ["SunOS/Solaris"]                         |
| "aviva uk:integrated medical screening prd hps"         | 3                 | ["Windows","VMWare"]                      |
| "aviva uk:focol prd hpp"                                | 5                 | ["z/OS"]                                  |
| "aviva uk:content manager prd hps(x)"                   | 1                 | ["Windows"]                               |
| "aviva uk:nui 01 lmg prd hps(x)"                        | 1                 | ["Windows"]                               |
| "aviva uk:sms broker prd hps"                           | 1                 | ["Windows"]                               |
| "aviva uk:pra viewer pre hps"                           | 2                 | ["Windows"]                               |
| "aviva uk:oracle hr discoverer pre hpb"                 | 4                 | ["AIX"]                                   |
| "aviva uk:base rate tracker pre hps"                    | 2                 | ["Windows"]                               |
| "aviva uk:asc outbound dev hpb"                         | 1                 | ["Windows"]                               |
| "aviva uk:adviser portal auth prd hpg"                  | 2                 | ["AIX"]                                   |
| "aviva uk:pension tracker (adviser) prd hpg"            | 6                 | ["AIX"]                                   |
| "aviva uk:credit collections uat hpb"                   | 1                 | ["Windows"]                               |
| "aviva uk:total incident management - sps dev hps"      | 1                 | ["z/OS"]                                  |
| "aviva uk:sas v8 hc prd hps"                            | 4                 | ["Windows"]                               |
