
C:\Users\nobleric\dev\ESL-Data>c:\Users\nobleric\dev\neo4j\bin\neo4jshell -c -v -path c:/Users/nobleric/dev/neo4j/data -file os-types.cql 

+-------------------------------------------------------------------------------------------------------------------------+
| Solution                                                | Number_of_servers | OS_Types                                  |
| "aviva uk:netquotes prd hps"                            | 2                 | ["AIX"]                                   |
| "aviva uk:oracle hr uat hps"                            | 5                 | ["AIX","Other"]                           |
| "aviva uk:ip address management prd hps"                | 10                | ["Windows"]                               |
| "aviva uk:siebel 8 (ukhe) pre hps"                      | 15                | ["Windows","VMWare"]                      |
| "aviva uk:desktop mentor prd hps"                       | 2                 | ["Windows"]                               |
| "aviva uk:af support tst hpb"                           | 2                 | ["AIX","Other"]                           |
| "aviva uk:lcs dev hpb"                                  | 3                 | ["Windows"]                               |
| "aviva uk:red flag risks uat hps"                       | 1                 | ["z/OS"]                                  |
| "aviva uk:cvs groupfinance01 uka2 prd hps"              | 1                 | ["Windows"]                               |
| "aviva uk:back up and storage infra (ai) prd hps"       | 4                 | ["Windows"]                               |
| "aviva uk:ltrams prd hpg"                               | 1                 | ["z/OS"]                                  |
| "aviva uk:tm1 eaf adjustments uat hpb"                  | 2                 | ["Windows"]                               |
| "aviva uk:dialogue (ukgi) uat hps"                      | 1                 | ["z/OS"]                                  |
| "aviva uk:magnitude cartesis finance dev hpb"           | 2                 | ["Windows"]                               |
| "aviva uk:ibm license metric tool prd hpb"              | 1                 | ["Windows"]                               |
| "aviva uk:aria uat hpg"                                 | 1                 | ["Windows"]                               |
| "aviva uk:hml batch suite prd hps"                      | 3                 | ["Windows"]                               |
| "aviva uk:epic pre hps"                                 | 8                 | ["Windows"]                               |
| "aviva uk:self service portal prd hps"                  | 2                 | ["Windows"]                               |
| "aviva uk:mediaview trn hps"                            | 4                 | ["Windows"]                               |
| "aviva uk:assyst import processor prd hps"              | 2                 | ["Windows"]                               |
| "aviva uk:cosmic claims tst hpb(x)"                     | 1                 | ["AIX"]                                   |
| "aviva uk:guidewire policy center prd hpg"              | 12                | ["Linux"]                                 |
| "aviva uk:jboss pre hps(x)"                             | 4                 | ["Windows"]                               |
| "aviva uk:axis (ukl) dev hpb"                           | 1                 | ["Windows"]                               |
| "aviva uk:dmi prd hps"                                  | 1                 | ["SunOS/Solaris"]                         |
| "aviva uk:blackberry notes prd hps"                     | 3                 | ["Windows"]                               |
| "aviva uk:bre (life) uat hps"                           | 1                 | ["AIX"]                                   |
| "aviva uk:service management dev hps"                   | 1                 | ["z/OS"]                                  |
| "aviva uk:aries (ukgi) prd hpp"                         | 1                 | ["z/OS"]                                  |
| "aviva uk:sophos (ai) prd hpg"                          | 4                 | ["Windows"]                               |
| "aviva uk:sas di studio prd hps"                        | 1                 | ["Windows"]                               |
| "aviva uk:document capture prd hps"                     | 1                 | ["Windows"]                               |
| "aviva uk:midrange nis prd hpg"                         | 4                 | ["AIX"]                                   |
| "aviva uk:strategic printing online uat hpb"            | 1                 | ["Windows"]                               |
| "aviva uk:grit dev hps"                                 | 1                 | ["AIX"]                                   |
| "aviva uk:qas nearest pre hps(x)"                       | 4                 | ["Windows"]                               |
| "aviva uk:dynamic pricing pre hps"                      | 4                 | ["AIX"]                                   |
| "aviva uk:novadigm tst hps"                             | 1                 | ["Windows"]                               |
| "aviva uk:lads db prd hpg"                              | 2                 | ["Windows"]                               |
| "aviva uk:pmi (ukgi) tst hpg"                           | 1                 | ["Other"]                                 |
| "aviva uk:cyclops aprimo relationshp mgt tst hpb"       | 4                 | ["Windows"]                               |
| "aviva uk:barclays pwss cp pre hps"                     | 4                 | ["Windows"]                               |
| "aviva uk:ib vision prd hpp"                            | 3                 | ["AIX"]                                   |
| "aviva uk:crisp prd hpp"                                | 1                 | ["z/OS"]                                  |
| "aviva uk:image uat hps"                                | 1                 | ["z/OS"]                                  |
| "aviva uk:corporate admin system prd hps"               | 2                 | ["AIX"]                                   |
| "aviva uk:etl informatica (ukl) dev hpb"                | 3                 | ["AIX"]                                   |
| "aviva uk:jxml uat hpg"                                 | 1                 | ["Windows"]                               |
| "aviva uk:sbc healthcare01 pre hps"                     | 2                 | ["Windows"]                               |
| "aviva uk:message broker (ai) uat2 hpb"                 | 1                 | ["SunOS/Solaris"]                         |
| "aviva uk:iway pre hps"                                 | 3                 | ["Windows"]                               |
| "aviva uk:remote management (ai) prd hpg"               | 2                 | ["Windows"]                               |
| "aviva uk:system architect (ai) prd hpg"                | 2                 | ["Windows"]                               |
| "aviva uk:tardis informatica tst hpb"                   | 6                 | ["AIX","Other"]                           |
| "aviva uk:price optimisation prd hps"                   | 1                 | ["Windows"]                               |
| "aviva uk:distributed server management pre hpb"        | 1                 | ["Windows"]                               |
| "aviva uk:muppet prd hpg"                               | 3                 | ["AIX","Other"]                           |
| "aviva uk:eg operational intelligence prd hps(x)"       | 2                 | ["Windows"]                               |
| "aviva uk:centennial 2005 (server) prd hps"             | 2                 | ["Windows"]                               |
| "aviva uk:base rate tracker uat hps"                    | 1                 | ["Windows"]                               |
| "aviva uk:make & model prd hpg"                         | 1                 | ["z/OS"]                                  |
| "aviva uk:message broker uat hpg"                       | 4                 | ["AIX","Other"]                           |
| "aviva uk:jboss prv hps(x)"                             | 1                 | ["Windows"]                               |
| "aviva uk:pci pre hps"                                  | 1                 | ["Other"]                                 |
| "aviva uk:midrange hmc prd hpg"                         | 18                | ["Other","AIX"]                           |
| "aviva uk:hawkeye prd hps"                              | 3                 | ["AIX","Other"]                           |
| "aviva uk:barclays pwss cp uat hpb"                     | 2                 | ["Windows"]                               |
| "aviva uk:serena dimensions dr hps"                     | 1                 | ["SunOS/Solaris"]                         |
| "aviva uk:m/f fin bank wizard dev hps"                  | 1                 | ["z/OS"]                                  |
| "aviva uk:gemini life uat hpb"                          | 1                 | ["Other"]                                 |
| "aviva uk:data management tst hps"                      | 1                 | ["Windows"]                               |
| "aviva uk:pension & annuity esb (ukl) tst hpb"          | 3                 | ["Linux"]                                 |
| "aviva uk:pert (ai) prd hpg"                            | 1                 | ["Windows"]                               |
| "aviva uk:gemini ukgi prd hpg"                          | 2                 | ["z/OS"]                                  |
| "aviva uk:investment & protection wps (ukl) prd hpg"    | 5                 | ["AIX","Other"]                           |
| "aviva uk:tsm prd hps(x)"                               | 31                | ["Windows"]                               |
| "aviva uk:datacap dev hps"                              | 3                 | ["Windows"]                               |
| "aviva uk:focol tst hps(x)"                             | 3                 | ["z/OS"]                                  |
| "aviva uk:exceed policy warranty prd hpg"               | 1                 | ["Windows"]                               |
| "aviva uk:variable annuity dev hpg"                     | 1                 | ["AIX"]                                   |
| "aviva uk:magnum isis dev hps"                          | 1                 | ["Windows"]                               |
| "aviva uk:sas web report studio prd hps"                | 2                 | ["Windows"]                               |
| "aviva uk:midrange nim tst hpb"                         | 1                 | ["Other"]                                 |
| "aviva uk:dmi uat3 hpb"                                 | 2                 | ["Windows","SunOS/Solaris"]               |
| "aviva uk:race prd hps"                                 | 2                 | ["Windows"]                               |
| "aviva uk:common esb (ukl) dev hps"                     | 1                 | ["AIX"]                                   |
| "aviva uk:aqe magnum uat hpb"                           | 1                 | ["Windows"]                               |
| "aviva uk:adviser portal (secure) uat hps"              | 2                 | ["AIX"]                                   |
| "aviva uk:adviser portal (secure) sit hpg"              | 1                 | ["Other"]                                 |
| "aviva uk:party wps (ukl) sit hps"                      | 3                 | ["AIX","Other"]                           |
| "aviva uk:lmg01 lmg pre hpb"                            | 4                 | ["Windows"]                               |
| "aviva uk:sv quotes prd hpg"                            | 2                 | ["Windows"]                               |
| "aviva uk:operational data store (ods) uat1 hps"        | 1                 | ["Windows"]                               |
| "aviva uk:investment & protection esb (ukl) sit hpb"    | 2                 | ["Linux"]                                 |
| "aviva uk:tam 5 (ecommerce) tst hpb"                    | 1                 | ["Windows"]                               |
| "aviva uk:cosmic claims uat hpb"                        | 1                 | ["Windows"]                               |
| "aviva uk:hyperion financial management tst hpb"        | 4                 | ["Windows"]                               |
| "aviva uk:qars prd hpg"                                 | 2                 | ["Windows"]                               |
| "aviva uk:arcsight prd hpg"                             | 4                 | ["Windows"]                               |
| "aviva uk:print monitoring prd hpg"                     | 8                 | ["Windows","VMWare"]                      |
| "aviva uk:fsapsd dev hps"                               | 1                 | ["Windows"]                               |
| "aviva uk:bob uat1 hps"                                 | 1                 | ["Windows"]                               |
| "aviva uk:sbc infrastructure norwich prd hpg"           | 4                 | ["Windows"]                               |
| "aviva uk:tdi6 pre hps"                                 | 1                 | ["AIX"]                                   |
| "aviva uk:content manager tst hpb"                      | 1                 | ["Windows"]                               |
| "aviva uk:qmax prd hps"                                 | 1                 | ["Windows"]                               |
| "aviva uk:box management prd hpg"                       | 3                 | ["AIX","Other"]                           |
| "aviva uk:data owners self service portal prd hps"      | 2                 | ["Windows"]                               |
| "aviva uk:flex time recording uat hps"                  | 1                 | ["z/OS"]                                  |
| "aviva uk:vio tst hpb(x)"                               | 2                 | ["Other"]                                 |
| "aviva uk:customer innovation centre mgt dev hpb"       | 29                | ["Windows"]                               |
| "aviva uk:sql server management hpb"                    | 2                 | ["Windows"]                               |
| "aviva uk:midrange poc tst hpb"                         | 14                | ["AIX","Other"]                           |
| "aviva uk:party wps (ukl) dev hpb"                      | 1                 | ["AIX"]                                   |
| "aviva uk:mpo prd hps"                                  | 5                 | ["Windows"]                               |
| "aviva uk:network application prd hps"                  | 3                 | ["Windows"]                               |
| "aviva uk:xml cont enq txnhist pension prd hpg"         | 4                 | ["AIX"]                                   |
| "aviva uk:adwl sql db prd hpb"                          | 1                 | ["Windows"]                               |
| "aviva uk:online it service centre uat hps"             | 2                 | ["Windows"]                               |
| "aviva uk:pra viewer uat hps"                           | 1                 | ["Windows"]                               |
| "aviva uk:qas proweb prd hpg"                           | 1                 | ["Windows"]                               |
| "aviva uk:paxus prd hpg"                                | 1                 | ["z/OS"]                                  |
| "aviva uk:life quotes prd hpg"                          | 1                 | ["z/OS"]                                  |
| "aviva uk:siebel 8 systhink dev hps"                    | 6                 | ["Windows","AIX","VMWare","Other"]        |
| "aviva uk:whiteboard - its dev hps"                     | 2                 | ["Windows"]                               |
| "aviva uk:commercial vision ebroker prd hpg"            | 2                 | ["AIX"]                                   |
| "aviva uk:system management (oracle) dev hpg"           | 3                 | ["Other","AIX"]                           |
| "aviva uk:oracle hr prd hpb"                            | 1                 | ["AIX"]                                   |
| "aviva uk:pension & annuity esb (ukl) pre hpb"          | 18                | ["Linux"]                                 |
| "aviva uk:m/f experian payments gateway dev hpb"        | 1                 | ["Windows"]                               |
| "aviva uk:ldap af ecom pre hpg"                         | 1                 | ["AIX"]                                   |
| "aviva uk:print dashboard tst hps"                      | 1                 | ["Windows"]                               |
| "aviva uk:tivoli management gateway prd hps"            | 5                 | ["Windows"]                               |
| "aviva uk:legal indemnity on-line (lion) prd hps"       | 2                 | ["Windows"]                               |
| "aviva uk:intraquotes sit hpb"                          | 2                 | ["Windows"]                               |
| "aviva uk:cvm mi ukgi prd hpb"                          | 1                 | ["Windows"]                               |
| "aviva uk:af support prd hps"                           | 2                 | ["Windows"]                               |
| "aviva uk:hsbc home cp tst hpb"                         | 8                 | ["Windows"]                               |
| "aviva uk:e-solar pre hps"                              | 2                 | ["Windows"]                               |
| "aviva uk:guidewire claim center tst hps"               | 8                 | ["Linux","Windows","AIX"]                 |
| "aviva uk:adwl sql db dev hpb"                          | 1                 | ["Windows"]                               |
| "aviva uk:eservices pre hpg"                            | 2                 | ["AIX"]                                   |
| "aviva uk:sage prd hps"                                 | 1                 | ["Windows"]                               |
| "aviva uk:asc magnum dev hpb"                           | 1                 | ["Windows"]                               |
| "aviva uk:team pages - nucs prd hps"                    | 1                 | ["Windows"]                               |
| "aviva uk:integrated medical screening uat hps(x)"      | 1                 | ["z/OS"]                                  |
| "aviva uk:opportunity tracker pre hps"                  | 2                 | ["Windows"]                               |
| "aviva uk:creditor prd hps"                             | 2                 | ["AIX"]                                   |
| "aviva uk:softphone wallboard pre hps"                  | 2                 | ["Windows"]                               |
| "aviva uk:internal portal uat hps"                      | 1                 | ["AIX"]                                   |
| "aviva uk:agreement wps (ukl) prv hps"                  | 1                 | ["AIX"]                                   |
| "aviva uk:jboss tst hpb"                                | 4                 | ["Windows"]                               |
| "aviva uk:oep dashboard prd hpp"                        | 1                 | ["z/OS"]                                  |
| "aviva uk:sun accounts prd hps"                         | 1                 | ["Windows"]                               |
| "aviva uk:message broker pre hpg(x)"                    | 1                 | ["Other"]                                 |
| "aviva uk:aviva card secure prd hpg"                    | 4                 | ["Windows"]                               |
| "aviva uk:ukdi rescue q&b uat hpb"                      | 2                 | ["Windows"]                               |
| "aviva uk:ukdi home quote & buy prv hps"                | 2                 | ["Windows"]                               |
| "aviva uk:asc mq tst hpb"                               | 5                 | ["Windows","AIX"]                         |
| "aviva uk:illustrations prd hpg"                        | 1                 | ["Windows"]                               |
| "aviva uk:dq prd hpg"                                   | 1                 | ["z/OS"]                                  |
| "aviva uk:sas ds gemini data prd hpg"                   | 1                 | ["AIX"]                                   |
| "aviva uk:head office direct debits syst prd hpg"       | 1                 | ["z/OS"]                                  |
| "aviva uk:ukdi motor quote & buy tst hpb"               | 7                 | ["Windows"]                               |
| "aviva uk:data loss prd hpg"                            | 9                 | ["AIX","Windows","Other"]                 |
| "aviva uk:sast poc hps"                                 | 1                 | ["Windows"]                               |
| "aviva uk:sam dev hps"                                  | 3                 | ["z/OS"]                                  |
| "aviva uk:magnitude cartesis finance prd hpg(x)"        | 1                 | ["Windows"]                               |
| "aviva uk:pulse applications dev hps"                   | 1                 | ["Windows"]                               |
| "aviva uk:anti virus prd hps(x)"                        | 8                 | ["Windows"]                               |
| "aviva uk:cpl pre hpg(x)"                               | 1                 | ["Windows"]                               |
| "aviva uk:guidewire claim center pre hps"               | 6                 | ["Linux"]                                 |
| "aviva uk:qas (ukgi) prd hps"                           | 4                 | ["Windows"]                               |
| "aviva uk:my policy dev hpb"                            | 7                 | ["Windows"]                               |
| "aviva uk:qas nearest dev hpg"                          | 3                 | ["Windows"]                               |
| "aviva uk:print server prd hps"                         | 3                 | ["Windows"]                               |
| "aviva uk:csf (ukgi) tst hpp"                           | 1                 | ["z/OS"]                                  |
| "aviva uk:pension & annuity wps (ukl) dev hpb"          | 1                 | ["AIX"]                                   |
| "aviva uk:load runner prd hps"                          | 5                 | ["Windows"]                               |
| "aviva uk:handling unit look up prd hpp"                | 1                 | ["z/OS"]                                  |
| "aviva uk:softphone log file manager prd hps"           | 1                 | ["Windows"]                               |
| "aviva uk:exceed policy prd hps"                        | 48                | ["Windows","VMWare"]                      |
| "aviva uk:sccm (ai) prd hpg"                            | 4                 | ["Windows"]                               |
| "aviva uk:investment & protection esb (ukl) pre hpg"    | 4                 | ["AIX"]                                   |
| "aviva uk:barclays travel cp prd hps"                   | 8                 | ["Windows"]                               |
| "aviva uk:party esb (ukl) prd hpg"                      | 5                 | ["AIX","Other"]                           |
| "aviva uk:file handling system dev hps"                 | 1                 | ["z/OS"]                                  |
| "aviva uk:dos winapps prd hpb"                          | 1                 | ["Windows"]                               |
| "aviva uk:work monitoring prd hpp"                      | 3                 | ["z/OS"]                                  |
| "aviva uk:ibm director prd hps"                         | 1                 | ["Windows"]                               |
| "aviva uk:home claims - cps uat hps"                    | 3                 | ["z/OS"]                                  |
| "aviva uk:sbc finance01 prd hps"                        | 13                | ["Windows"]                               |
| "aviva uk:guidewire contact manager dev hps"            | 7                 | ["Linux","AIX"]                           |
| "aviva uk:enhanced data warehouse tst hps"              | 3                 | ["z/OS"]                                  |
| "aviva uk:tsm prd hpg(x)"                               | 6                 | ["Other","AIX"]                           |
| "aviva uk:advantage fee billing prd hpg"                | 2                 | ["Windows"]                               |
| "aviva uk:whiteboard - its prd hps"                     | 2                 | ["Windows"]                               |
| "aviva uk:consumer online quotes data store prd hps"    | 4                 | ["Windows"]                               |
| "aviva uk:message broker prd hps(x)"                    | 1                 | ["Windows"]                               |
| "aviva uk:ods plus prd hpg"                             | 2                 | ["Windows"]                               |
| "aviva uk:tam-sso (desktop) uat hps(x)"                 | 1                 | ["Windows"]                               |
| "aviva uk:af web service gateway tst hpb"               | 12                | ["Linux","AIX"]                           |
| "aviva uk:fleet rmi uat hps"                            | 1                 | ["z/OS"]                                  |
| "aviva uk:prosper b2b life - rbsg tst hps"              | 1                 | ["AIX"]                                   |
| "aviva uk:java framework (ukhe) dev hpb"                | 1                 | ["Windows"]                               |
| "aviva uk:bis/vpc dev hpb"                              | 1                 | ["Other"]                                 |
| "aviva uk:tlm smartstream prd hpg(x)"                   | 5                 | ["AIX","Other"]                           |
| "aviva uk:dialogue (life) pre hpg"                      | 1                 | ["Windows"]                               |
| "aviva uk:disclosure management pre hps"                | 4                 | ["Windows"]                               |
| "aviva uk:unisure pre hpg"                              | 1                 | ["Other"]                                 |
| "aviva uk:engineers diary dev hpg"                      | 1                 | ["Other"]                                 |
| "aviva uk:sas web report viewer dev hps"                | 1                 | ["Windows"]                               |
| "aviva uk:tlm smartstream tst hpb"                      | 2                 | ["AIX","Other"]                           |
| "aviva uk:edm prd hpg"                                  | 1                 | ["Windows"]                               |
| "aviva uk:ukdi motor quote & buy dev hps"               | 1                 | ["Windows"]                               |
| "aviva uk:dmi uat2 hps"                                 | 3                 | ["Windows","SunOS/Solaris"]               |
| "aviva uk:adviser portal (public) uat hps"              | 1                 | ["Windows"]                               |
| "aviva uk:sas ent guide v4 sas v9 prd hps"              | 1                 | ["Windows"]                               |
| "aviva uk:ms reporting prd hpg"                         | 1                 | ["Windows"]                               |
| "aviva uk:midrange ignite prd hpb"                      | 6                 | ["HP-UX"]                                 |
| "aviva uk:qas proweb prd hps"                           | 1                 | ["Windows"]                               |
| "aviva uk:ukgi ebroking web q&b prd hps"                | 6                 | ["Windows"]                               |
| "aviva uk:xml new joiner tst hpg"                       | 1                 | ["AIX"]                                   |
| "aviva uk:creditor lifestyle tst hpb"                   | 7                 | ["Windows"]                               |
| "aviva uk:pulse uat hps"                                | 5                 | ["Windows"]                               |
| "aviva uk:tam 5 (ecommerce) prd hps"                    | 17                | ["Windows"]                               |
| "aviva uk:scalable prd hps"                             | 7                 | ["Windows"]                               |
| "aviva uk:adviser portal pre hpg(x)"                    | 1                 | ["Other"]                                 |
| "aviva uk:teradata management tst hps(x)"               | 5                 | ["AIX"]                                   |
| "aviva uk:domain services dc prd hpb"                   | 2                 | ["Windows"]                               |
| "aviva uk:cvm renewals dev hps"                         | 1                 | ["Windows"]                               |
| "aviva uk:teradata management dev hps(x)"               | 5                 | ["AIX"]                                   |
| "aviva uk:fs1 lockbox prd hps"                          | 1                 | ["Windows"]                               |
| "aviva uk:internal portal sit hps"                      | 3                 | ["AIX","Other"]                           |
| "aviva uk:af web service gateway pre hpb"               | 17                | ["Linux","AIX"]                           |
| "aviva uk:prosper b2b life - rbsg pre hps"              | 1                 | ["AIX"]                                   |
| "aviva uk:datascore uatr hps"                           | 2                 | ["Windows"]                               |
| "aviva uk:content manager prd hps"                      | 3                 | ["VMWare"]                                |
| "aviva uk:lotus notes databases prd hpb"                | 1                 | ["Windows"]                               |
| "aviva uk:back up and storage infra (ai) prd hpg"       | 12                | ["Windows"]                               |
| "aviva uk:sccm prd hpg"                                 | 19                | ["Windows"]                               |
| "aviva uk:virtual centre prd hpg"                       | 1                 | ["Windows"]                               |
| "aviva uk:oracle real-time scheduler (ors) dev hpb"     | 2                 | ["#UNDEFINED#"]                           |
| "aviva uk:pe uat hps"                                   | 2                 | ["z/OS"]                                  |
| "aviva uk:radia deployment pre hps"                     | 1                 | ["Windows"]                               |
| "aviva uk:top desk prd hps"                             | 2                 | ["Windows"]                               |
| "aviva uk:build management prd hps"                     | 12                | ["Windows","Linux","VMWare"]              |
| "aviva uk:spearmint reinsurance prd hpg"                | 2                 | ["AIX"]                                   |
| "aviva uk:assyst prd hpg"                               | 1                 | ["Other"]                                 |
| "aviva uk:variable annuity prd hps"                     | 2                 | ["AIX","Other"]                           |
| "aviva uk:aquarius dev hps"                             | 1                 | ["z/OS"]                                  |
| "aviva uk:midrange hmc prd hps"                         | 2                 | ["AIX","Other"]                           |
| "aviva uk:asc mq prd hps"                               | 4                 | ["Windows","AIX"]                         |
| "aviva uk:ukdi home quote & buy tst hpb"                | 7                 | ["Windows"]                               |
| "aviva uk:grit prd hpg"                                 | 3                 | ["AIX","Other"]                           |
| "aviva uk:sas web report viewer prd hps"                | 1                 | ["Windows"]                               |
| "aviva uk:base rate tracker dev hpb"                    | 1                 | ["Windows"]                               |
| "aviva uk:jenkins prd hps"                              | 1                 | ["Windows"]                               |
| "aviva uk:corporate vision prd hps(x)"                  | 1                 | ["Windows"]                               |
| "aviva uk:prosper b2b life - santander prd hpg"         | 5                 | ["AIX","Other"]                           |
| "aviva uk:cvm tracker dev hpb"                          | 1                 | ["Windows"]                               |
| "aviva uk:adviser portal (secure) sit hps"              | 3                 | ["AIX","Other"]                           |
| "aviva uk:pcontrol unit pricing pre hpg"                | 3                 | ["Windows"]                               |
| "aviva uk:netquotes prd hpg"                            | 4                 | ["AIX","Other"]                           |
| "aviva uk:first direct home dev hpb"                    | 8                 | ["Windows"]                               |
| "aviva uk:bre (ukhe) trn hps"                           | 1                 | ["AIX"]                                   |
| "aviva uk:on demand uat hpg"                            | 3                 | ["AIX","Other"]                           |
| "aviva uk:eservices tst hps"                            | 1                 | ["AIX"]                                   |
| "aviva uk:common wps (ukl) uat hps"                     | 1                 | ["AIX"]                                   |
| "aviva uk:business objects (agc) prd hpg"               | 2                 | ["Windows"]                               |
| "aviva uk:hsbc home cp prd hps"                         | 8                 | ["Windows"]                               |
| "aviva uk:mdm uat hps"                                  | 2                 | ["AIX","Other"]                           |
| "aviva uk:distributed server management prd hps"        | 3                 | ["Windows"]                               |
| "aviva uk:commercial flood dev hps"                     | 1                 | ["z/OS"]                                  |
| "aviva uk:ukdi home call centre web q&b pre hps"        | 6                 | ["Windows"]                               |
| "aviva uk:active directory (ai) dc imuat hpb"           | 7                 | ["Windows"]                               |
| "aviva uk:assyst import processor prd hps(x)"           | 2                 | ["Windows"]                               |
| "aviva uk:branch management prd hpb"                    | 23                | ["Windows"]                               |
| "aviva uk:af web service gateway prd hpg"               | 4                 | ["Linux"]                                 |
| "aviva uk:mid prd hpp"                                  | 2                 | ["z/OS"]                                  |
| "aviva uk:imarket dev hps"                              | 1                 | ["AIX"]                                   |
| "aviva uk:cvh pre hpg"                                  | 5                 | ["AIX","Other"]                           |
| "aviva uk:cosmic claims pre hpg"                        | 2                 | ["AIX"]                                   |
| "aviva uk:exceed policy trn hps(x)"                     | 3                 | ["z/OS"]                                  |
| "aviva uk:gemini uat hpb"                               | 1                 | ["Other"]                                 |
| "aviva uk:intraquotes pre hps"                          | 4                 | ["Windows"]                               |
| "aviva uk:rbde prd hpg"                                 | 1                 | ["z/OS"]                                  |
| "aviva uk:cosmic claims prd hps(x)"                     | 1                 | ["AIX"]                                   |
| "aviva uk:sbc itsupport prd hps(x)"                     | 1                 | ["Windows"]                               |
| "aviva uk:party wps (ukl) prv hps"                      | 1                 | ["AIX"]                                   |
| "aviva uk:tm1 1vot prd hps"                             | 1                 | ["Windows"]                               |
| "aviva uk:pension & annuity esb (ukl) dev hps"          | 1                 | ["AIX"]                                   |
| "aviva uk:connect direct prd hpg"                       | 1                 | ["Windows"]                               |
| "aviva uk:administrator (dbp) dev hpg"                  | 3                 | ["AIX","Other"]                           |
| "aviva uk:mailing deletions dev hps"                    | 1                 | ["z/OS"]                                  |
| "aviva uk:self service portal pre hps"                  | 6                 | ["Windows"]                               |
| "aviva uk:box management dev hps"                       | 1                 | ["AIX"]                                   |
| "aviva uk:investment & protection esb (ukl) prv hpb"    | 3                 | ["Linux"]                                 |
| "aviva uk:personal lines u/w authorities uat hps"       | 1                 | ["z/OS"]                                  |
| "aviva uk:sbc prophet01 pre hps"                        | 2                 | ["Windows"]                               |
| "aviva uk:underwriting authorities uat hps"             | 1                 | ["z/OS"]                                  |
| "aviva uk:content manager dev hps"                      | 6                 | ["Windows","VMWare","z/OS"]               |
| "aviva uk:tms - travel medical screening uat hps"       | 1                 | ["z/OS"]                                  |
| "aviva uk:complex commercial price calc dev hpb"        | 4                 | ["Windows"]                               |
| "aviva uk:hardware management prd hps"                  | 9                 | ["z/OS","Other"]                          |
| "aviva uk:business objects (agc) tst hpb"               | 1                 | ["Windows"]                               |
| "aviva uk:softphone (in-house) tst hpb"                 | 1                 | ["Windows"]                               |
| "aviva uk:oracle fin isupp dev hpb"                     | 4                 | ["AIX"]                                   |
| "aviva uk:connect direct ramsey prd hps"                | 4                 | ["Windows"]                               |
| "aviva uk:domino application prd hpb"                   | 6                 | ["Windows"]                               |
| "aviva uk:qds prd hpg"                                  | 3                 | ["AIX","Other"]                           |
| "aviva uk:exceed policy prd hps(x)"                     | 2                 | ["Windows"]                               |
| "aviva uk:aqe magnum sit hpb"                           | 1                 | ["Windows"]                               |
| "aviva uk:hsbc travel cp prd hpb"                       | 1                 | ["Windows"]                               |
| "aviva uk:ll agency prd hpg"                            | 1                 | ["z/OS"]                                  |
| "aviva uk:radia deployment tst hps"                     | 1                 | ["Windows"]                               |
| "aviva uk:cvs appservers01 uki1 pre hps"                | 4                 | ["Windows"]                               |
| "aviva uk:muppet prd hpg(x)"                            | 2                 | ["Other","AIX"]                           |
| "aviva uk:operational data store (ods) prd hpg"         | 1                 | ["Windows"]                               |
| "aviva uk:software ordering prd hps"                    | 1                 | ["Windows"]                               |
| "aviva uk:click on a doc uat hps"                       | 1                 | ["Windows"]                               |
| "aviva uk:midrange nim prd hps"                         | 13                | ["AIX","Other"]                           |
| "aviva uk:ecommerce single sign on tst hps"             | 6                 | ["Windows","Linux"]                       |
| "aviva uk:cvm exclusions prd hps"                       | 1                 | ["Windows"]                               |
| "aviva uk:business objects (agc) dev hpg"               | 2                 | ["Windows"]                               |
| "aviva uk:eip eclient prd hpg"                          | 12                | ["AIX"]                                   |
| "aviva uk:tm1 actuarial prd hps"                        | 1                 | ["Windows"]                               |
| "aviva uk:ap sitefinity db prd hpg"                     | 2                 | ["Windows"]                               |
| "aviva uk:abacus uat hps"                               | 1                 | ["z/OS"]                                  |
| "aviva uk:sbc infrastructure norwich prd hps"           | 7                 | ["Windows"]                               |
| "aviva uk:cosmic claims sit hpb"                        | 1                 | ["Windows"]                               |
| "aviva uk:sbc itsupport prd hps"                        | 8                 | ["Windows"]                               |
| "aviva uk:sas web olap viewer dev hps"                  | 2                 | ["Windows"]                               |
| "aviva uk:vca self service portal pre hps"              | 5                 | ["Windows"]                               |
| "aviva uk:intraquotes pre hps(x)"                       | 1                 | ["Windows"]                               |
| "aviva uk:blast uat hps"                                | 1                 | ["z/OS"]                                  |
| "aviva uk:euclid pc uat hpb"                            | 1                 | ["Windows"]                               |
| "aviva uk:gr smart dev hps(x)"                          | 1                 | ["Windows"]                               |
| "aviva uk:wintel shared app (ai) npe hpb"               | 10                | ["Windows"]                               |
| "aviva uk:print management prd hps"                     | 5                 | ["Windows","VMWare"]                      |
| "aviva uk:prosper life - barclays prd hpg"              | 9                 | ["AIX","Other"]                           |
| "aviva uk:hawkeye pre hps"                              | 3                 | ["AIX","Other"]                           |
| "aviva uk:cressida uat2 hpb"                            | 2                 | ["Windows"]                               |
| "aviva uk:pvcs dev hpb"                                 | 1                 | ["Windows"]                               |
| "aviva uk:teradata management dev hpb"                  | 2                 | ["AIX"]                                   |
| "aviva uk:siebel 8 systhink prd hpg"                    | 5                 | ["AIX","Windows","Other"]                 |
| "aviva uk:serena dimensions uat1 hpb"                   | 2                 | ["Windows","SunOS/Solaris"]               |
| "aviva uk:pulse prd hpb"                                | 2                 | ["Windows"]                               |
