Full Node Name|relation_type|parent_system
appl047a.via.novonet|Farm for Virtual Guest|noncrit02.via.novonet
appl048a.via.novonet|Farm for Virtual Guest|noncrit02.via.novonet
appl049a.via.novonet|Farm for Virtual Guest|noncrit02.via.novonet
appl050a.via.novonet|Farm for Virtual Guest|noncrit02.via.novonet
appl051a.via.novonet|Farm for Virtual Guest|noncrit10.via.novonet
appl052a.via.novonet|Farm for Virtual Guest|noncrit10.via.novonet
appl056a.via.novonet|Farm for Virtual Guest|noncrit801.via.novonet
appl060a.via.novonet|Farm for Virtual Guest|noncrit10.via.novonet
appl061a.via.novonet|Farm for Virtual Guest|noncrit10.via.novonet
appl073a.via.novonet|Farm for Virtual Guest|noncrit10.via.novonet
appl093a.via.novonet|Farm for Virtual Guest|noncrit01.via.novonet
appl096a.via.novonet|Farm for Virtual Guest|noncrit10.via.novonet
appl104a.via.novonet|Farm for Virtual Guest|noncrit10.via.novonet
appl113a.via.novonet|Farm for Virtual Guest|noncrit10.via.novonet
appl116a.via.novonet|Farm for Virtual Guest|noncrit10.via.novonet
appl117a.via.novonet|Farm for Virtual Guest|noncrit10.via.novonet
appl121a.via.novonet|Farm for Virtual Guest|noncrit11.via.novonet
appl122a.via.novonet|Farm for Virtual Guest|noncrit07.via.novonet
appl130a.via.novonet|Farm for Virtual Guest|noncrit02.via.novonet
appl135a.via.novonet|Farm for Virtual Guest|buscrit03.via.novonet
appl137a.via.novonet|Farm for Virtual Guest|buscrit01.via.novonet
appl138a.via.novonet|Farm for Virtual Guest|buscrit01.via.novonet
appl141a.via.novonet|Farm for Virtual Guest|noncrit02.via.novonet
appl142a.via.novonet|Farm for Virtual Guest|buscrit01.via.novonet
appl143a.via.novonet|Farm for Virtual Guest|noncrit10.via.novonet
appl145a.via.novonet|Farm for Virtual Guest|noncrit11.via.novonet
appl152a.via.novonet|Farm for Virtual Guest|noncrit11.via.novonet
appl158a.via.novonet|Farm for Virtual Guest|noncrit12.via.novonet
appl160a.via.novonet|Farm for Virtual Guest|buscrit03.via.novonet
appl161a.via.novonet|Farm for Virtual Guest|noncrit11.via.novonet
appl162a.via.novonet|Farm for Virtual Guest|noncrit11.via.novonet
appl163a.via.novonet|Farm for Virtual Guest|noncrit02.via.novonet
appl165a.via.novonet|Farm for Virtual Guest|noncrit02.via.novonet
appl167a.via.novonet|Farm for Virtual Guest|noncrit11.via.novonet
appl168a.via.novonet|Farm for Virtual Guest|buscrit03.via.novonet
appl169a.via.novonet|Farm for Virtual Guest|noncrit11.via.novonet
appl171a.via.novonet|Farm for Virtual Guest|noncrit11.via.novonet
appl172a.via.novonet|Farm for Virtual Guest|noncrit11.via.novonet
appl174a.via.novonet|Farm for Virtual Guest|noncrit01.via.novonet
appl188a.via.novonet|Farm for Virtual Guest|noncrit08.via.novonet
