Full Node Name|System Status|Solution Name
appd008a.via.novonet|in production|aviva uk:sas web report viewer pre hps
appd008a.via.novonet|in production|aviva uk:sas web report viewer uat hps
appd009a.via.novonet|in production|aviva uk:foglight dev hps(x)
appd009a.via.novonet|in production|aviva uk:sas v9 hc dev hps(x)
appd009a.via.novonet|in production|aviva uk:sas v9 hc pre hps
appd009a.via.novonet|in production|aviva uk:sas v9 hc uat hps
appd009a.via.novonet|in production|aviva uk:sas web olap viewer dev hps
appd009a.via.novonet|in production|aviva uk:sas web olap viewer pre hps
appd009a.via.novonet|in production|aviva uk:sas web olap viewer uat hps
appd012a.via.novonet|in production|aviva uk:aries (ukl) prd hps
appd016a.via.novonet|in production|aviva uk:aries (ukl) dev hps
appd020a.via.novonet|in production|aviva uk:aries (ukl) dev hps
appd029a.via.novonet|in production|aviva uk:aries (ukl) dev hps
appd030a.via.novonet|in production|aviva uk:rules maintenance application prd hps
appd031a.via.novonet|in production|aviva uk:rules maintenance application prd hps
appd032a.via.novonet|in production|aviva uk:rules maintenance application prd hps
appd033a.via.novonet|in production|aviva uk:systems inventory dev hps
appd034a.via.novonet|in production|aviva uk:aries (ukl) dev hps
appd036a.via.novonet|in production|aviva uk:heritage dev hps
appd037a.via.novonet|in production|aviva uk:pulse applications dev hps
appd038a.via.novonet|deinstalled|aviva uk:pol dev hps
appd039a.via.novonet|deinstalled|aviva uk:tivoli monitoring dev hps(x)
appd041a.via.novonet|in production|aviva uk:qas nearest dev hpg
appd047a.via.novonet|in production|aviva uk:systems inventory dev hps
appd050a.via.novonet|in production|aviva uk:systems inventory prd hps
appd052a.via.novonet|in production|aviva uk:heritage dev hps
appd053a.via.novonet|in production|aviva uk:heritage dev hps
appd054a.via.novonet|in production|aviva uk:heritage dev hps
appd055a.via.novonet|in production|aviva uk:heritage dev hps
appd056a.via.novonet|in production|aviva uk:doc gen uat hpg
appd056a.via.novonet|in production|aviva uk:jboss uat hpg
appd056a.via.novonet|in production|aviva uk:jxml uat hpg
appd056a.via.novonet|in production|aviva uk:qas nearest dev hpg
appd057a.via.novonet|in production|aviva uk:doc gen uat hps
appd057a.via.novonet|in production|aviva uk:jboss uat hps(x)
appd057a.via.novonet|in production|aviva uk:jxml uat hps
appd057a.via.novonet|in production|aviva uk:pmi (ukgi) dev hps
appd057a.via.novonet|in production|aviva uk:qas nearest dev hps(x)
appd058a.via.novonet|in production|aviva uk:ukgi bucket hp hs
appd061a.via.novonet|in production|aviva uk:business objects (ukgi) dev hps(x)
appd064a.via.novonet|in production|aviva uk:ukgi bucket hp hs
appd065a.via.novonet|in production|aviva uk:ukgi bucket hp hs
appd066a.via.novonet|in production|aviva uk:ukgi bucket hp hs
appd069a.via.novonet|in production|aviva uk:tcim dev hps
appd070a.via.novonet|in production|aviva uk:pra viewer dev hpg
appd071a.via.novonet|in production|aviva uk:systems inventory dev hps
appd072a.via.novonet|in production|aviva uk:pra viewer dev hpg
appd074a.via.novonet|in production|aviva uk:ukgi bucket hp hs
appd075a.via.novonet|in production|aviva uk:sas (ukgi) dev hps
appd076a.via.novonet|obsolete|aviva uk:print monitoring prd hpg
appd080a.via.novonet|in production|aviva uk:af web service gateway prd hps(x)
appd082a.via.novonet|in production|aviva uk:domain management dev hps
appd084a.via.novonet|in production|aviva uk:assyst dw bridge dev hps
appd093a.via.novonet|in production|aviva uk:aries (ukl) dev hps
appl004a.via.novonet|in production|aviva uk:safeguard prd hps
appl005a.via.novonet|in production|aviva uk:sas dwh (ukl) prd hps
appl014a.via.novonet|in production|aviva uk:mosar prd hps
appl015a.via.novonet|in production|aviva uk:mosar prd hps
appl018a.via.novonet|obsolete|aviva uk:securewave prd hps(x)
appl019a.via.novonet|in production|aviva uk:eg work manager prd hps(x)
appl020a.via.novonet|in production|aviva uk:eg work manager prd hps(x)
appl023a.via.novonet|in production|aviva uk:virtual management prd hpg(x)
appl024a.via.novonet|in production|aviva uk:memo life prd hps
appl025a.via.novonet|in production|aviva uk:admin re bridge prd hpg
