Full Node Name|Usage|Detailed Usage
appd072a.via.novonet|Business Application|
appd074a.via.novonet|Business Application|
appd075a.via.novonet|Business Application|
appd080a.via.novonet|Business Application|
appd082a.via.novonet|Business Application|
appd084a.via.novonet|Business Application|
appd093a.via.novonet|Business Application|
appl004a.via.novonet|Business Application|
appl005a.via.novonet|Business Application|
appl014a.via.novonet|Business Application|
appl015a.via.novonet|Business Application|
appl019a.via.novonet|Business Application|
appl020a.via.novonet|Business Application|
appl023a.via.novonet|Business Application|
appl024a.via.novonet|Business Application|
appl025a.via.novonet|Business Application|
appl031g.via.novonet|Business Application|
appl032g.via.novonet|Business Application|
appl035a.via.novonet|Business Application|
appl042a.via.novonet|Business Application|
appl044a.via.novonet|Business Application|
appl045a.via.novonet|Business Application|
appl046a.via.novonet|Business Application|
appl047a.via.novonet|Business Application|
appl048a.via.novonet|Business Application|
appl049a.via.novonet|Business Application|
appl050a.via.novonet|Business Application|
appl051a.via.novonet|Business Application|
appl052a.via.novonet|Business Application|
appl053a.via.novonet|Business Application|
appl054a.via.novonet|Business Application|
appl055a.via.novonet|Business Application|
appl056a.via.novonet|Business Application|
appl060a.via.novonet|Business Application|
appl061a.via.novonet|Business Application|
appl073a.via.novonet|Business Application|
appl093a.via.novonet|Business Application|
appl094a.via.novonet|Business Application|
appl095a.via.novonet|Business Application|
appl096a.via.novonet|Business Application|
appl097a.via.novonet|Business Application|
appl104a.via.novonet|Business Application|
appl113a.via.novonet|Business Application|
appl116a.via.novonet|Business Application|
appl117a.via.novonet|Business Application|
appl122a.via.novonet|Business Application|
appl128a.via.novonet|Business Application|
appl130a.via.novonet|Business Application|
appl135a.via.novonet|Business Application|
appl137a.via.novonet|Business Application|
appl138a.via.novonet|Business Application|
appl141a.via.novonet|Business Application|
appl142a.via.novonet|Business Application|
appl143a.via.novonet|Business Application|
appl145a.via.novonet|Business Application|
appl146a.via.novonet|Business Application|
appl147a.via.novonet|Business Application|
appl148a.via.novonet|Business Application|
appl149a.via.novonet|Business Application|
appl150a.via.novonet|Business Application|
appl152a.via.novonet|Business Application|
