Full Node Name|System Group Name|System Group Type
uknwsvuaa450.via.novonet|UKL|customer business unit
uknwsvuaa451.via.novonet|HPSA|reporting
uknwsvuaa451.via.novonet|UKL|customer business unit
uknwsvuaa452.via.novonet|HPSA|reporting
uknwsvuaa452.via.novonet|UKL|customer business unit
uknwsvuaa453.via.novonet|HPSA|reporting
uknwsvuaa453.via.novonet|UKL|customer business unit
uknwsvuaa454.via.novonet|HPSA|reporting
uknwsvuaa454.via.novonet|UKL|customer business unit
uknwsvuaa455.via.novonet|HPSA|reporting
uknwsvuaa455.via.novonet|UKL|customer business unit
uknwsvuaa456.via.novonet|HPSA|reporting
uknwsvuaa456.via.novonet|UKL|customer business unit
uknwsvuaa457.via.novonet|HPSA|reporting
uknwsvuaa457.via.novonet|UKL|customer business unit
uknwsvuaa458.via.novonet|HPSA|reporting
uknwsvuaa458.via.novonet|UKL|customer business unit
uknwsvuaa459.via.novonet|HPSA|reporting
uknwsvuaa459.via.novonet|UKL|customer business unit
uknwsvuaa460.via.novonet|HPSA|reporting
uknwsvuaa460.via.novonet|UKL|customer business unit
uknwsvuaa461.via.novonet|HPSA|reporting
uknwsvuaa461.via.novonet|UKGI|customer business unit
uknwsvuaa462.via.novonet|HPSA|reporting
uknwsvuaa462.via.novonet|UKGI|customer business unit
uknwsvuaa463.via.novonet|HPSA|reporting
uknwsvuaa463.via.novonet|UKGI|customer business unit
uknwsvuaa464.via.novonet|HPSA|reporting
uknwsvuaa464.via.novonet|UKGI|customer business unit
uknwsvuaa465.via.novonet|HPSA|reporting
uknwsvuaa465.via.novonet|UKGI|customer business unit
uknwsvuaa466.via.novonet|HPSA|reporting
uknwsvuaa466.via.novonet|UKGI|customer business unit
uknwsvuaa467.via.novonet|HPSA|reporting
uknwsvuaa467.via.novonet|UKGI|customer business unit
uknwsvuaa468.via.novonet|HPSA|reporting
uknwsvuaa468.via.novonet|UKGI|customer business unit
uknwsvuaa469.via.novonet|HPSA|reporting
uknwsvuaa469.via.novonet|UKGI|customer business unit
uknwsvuaa470.via.novonet|HPSA|reporting
uknwsvuaa470.via.novonet|UKGI|customer business unit
uknwsvuaa471.via.novonet|HPSA|reporting
uknwsvuaa471.via.novonet|UKGI|customer business unit
uknwsvuaa472.via.novonet|HPSA|reporting
uknwsvuaa472.via.novonet|UKGI|customer business unit
uknwsvuaa473.via.novonet|HPSA|reporting
