Full Node Name|Inventory ID|Latest RIM Connect|Latest RIM Load|browser status
025fv1b.via.novonet||||
025fv2b.via.novonet||||
026fv1c.via.novonet||||
026fv2c.via.novonet||||
143dv1c.via.novonet||||
143dv2c.via.novonet||||
22bdv1b.via.novonet||||
22bdv2b.via.novonet||||
3590-manual ctl.via.novonet||||
3590-manual dr0.via.novonet||||
3590-manual dr1.via.novonet||||
3838143.via.novonet||||
3838421.via.novonet||||
3838422.via.novonet||||
3fbdv1b.via.novonet||||
3fbdv2b.via.novonet||||
5b4dv1c.via.novonet||||
5b4dv2c.via.novonet||||
5b5dv1b.via.novonet||||
5b5dv2b.via.novonet||||
5b6dv1b.via.novonet||||
5b6dv2b.via.novonet||||
5b7dv1c.via.novonet||||
5b7dv2c.via.novonet||||
9309 rack.via.novonet||||
appd093a.via.novonet|HTSN4JMBPPHQEAJNR32TVXK5FY|2013-12-08 02:21:00|2013-12-10 03:59:00|PROD
appl004a.via.novonet|PRZQ7IFRSOYGUDABJGPSVLTNLE|2013-12-01 02:08:00|2013-12-10 03:59:00|PROD
appl005a.via.novonet|TCIWJNZTWNOQOIDKFVETF3I7OE|2013-12-08 02:20:00|2013-12-10 03:59:00|PROD
appl014a.via.novonet|HF6BJQMS4TF2GYI24CAQM65SME|2013-12-08 03:47:00|2013-12-10 03:59:00|
appl015a.via.novonet|GVTBDC6ZW2N4C7JU3VF7M2W4FA|2013-12-08 03:34:00|2013-12-10 03:59:00|
appl019a.via.novonet|HBT3OPHYGAU3OUMJFW7CH5JBPY|2013-12-08 02:02:00|2013-12-10 03:59:00|PROD
appl020a.via.novonet|4DOYMH4TG4LN6VZOG4LN27HXAA|2013-12-08 02:52:00|2013-12-10 03:59:00|PROD
appl023a.via.novonet|QIMFIBAKPS53ORQLXWD7QLV6RQ|2013-12-08 03:24:00|2013-12-10 03:59:00|PROD
appl024a.via.novonet|YDZH5DDSHVFFKYYSKNWKNEK4SU|2013-12-08 02:40:00|2013-12-10 03:59:00|PROD
appl025a.via.novonet|GSTDWGH5KOBRJ2IFQX5DVXVKPA|2013-12-08 03:37:00|2013-12-10 03:59:00|PROD
appl031g.via.novonet||||
appl032g.via.novonet|RSA7VJQ2AUEL2JCVOX2HZWUOPE|2013-12-08 02:03:00|2013-12-10 03:59:00|PROD
appl035a.via.novonet|VL6FVO7HLLFEGCV2APIROB6UWM|2013-12-08 02:52:00|2013-12-10 03:59:00|PROD
appl042a.via.novonet|ON7UQSRACRRAO6SGPENSDICKBQ|2013-12-08 03:07:00|2013-12-10 03:59:00|PROD
appl044a.via.novonet|L7TKQDU56JCSWOEYYWZCQSO5SA|2013-12-08 02:44:00|2013-12-10 03:59:00|PROD
appl045a.via.novonet|LOYF4SHAE7UN7UFES6TLENY36U|2013-12-08 03:09:00|2013-12-10 03:59:00|PROD
appl046a.via.novonet|6QS7OIZMT7ZHCQZEUXWCIN3RQM|2013-12-08 02:09:00|2013-12-10 03:59:00|PROD
appl047a.via.novonet|M2Y4XKEKXISJ7I3YEBNNOT56AE|2013-12-08 03:34:00|2013-12-10 03:59:00|PROD
appl048a.via.novonet|QVJ6KRBMLKLLJVE3Q66RMZOHTU|2013-12-08 02:42:00|2013-12-10 03:59:00|PROD
appl049a.via.novonet|ITMKRNZ6SOUQIWPO5OREFHPOXM|2013-12-08 02:23:00|2013-12-10 03:59:00|PROD
appl050a.via.novonet|WRNE52J5DEM6WGGEQZHMDXN3VE|2013-12-08 02:46:00|2013-12-10 03:59:00|PROD
appl051a.via.novonet|L2DRL55RJB357T4RTDQJX5XHUI|2013-12-08 02:41:00|2013-12-10 03:59:00|PROD
appl052a.via.novonet|PSJXPPCW6PIH5YMTBH6GDQDIRM|2013-12-08 02:03:00|2013-12-10 03:59:00|PROD
appl053a.via.novonet|LGZZXLWW6H3EHUYRRFKO6NP62A|2013-12-08 03:20:00|2013-12-10 03:59:00|PROD
appl054a.via.novonet|ENGQEI2ZQJTYPQ67DKTHKJ6JQE|2013-12-08 03:59:00|2013-12-10 03:59:00|PROD
appl055a.via.novonet|EUHJRUV4NQZHMGYGK6A3KOMPXM|2013-12-08 03:36:00|2013-12-10 03:59:00|PROD
appl056a.via.novonet|X5BG4OE7A536GUPGIAPKEUQN7Y|2013-12-08 02:52:00|2013-12-10 03:59:00|
appl060a.via.novonet|IKRLLLXNIU6WLBHGS3VCXCVSC4|2013-12-08 02:08:00|2013-12-10 03:59:00|PROD
appl061a.via.novonet|3LCC4JBHOXNAX56DTE6CDZEZ4Q|2013-12-08 02:27:00|2013-12-10 03:59:00|PROD
appl073a.via.novonet|CQU6AJFAEWPAEFEMQ6466IWUXQ|2013-12-08 03:47:00|2013-12-10 03:59:00|PROD
appl093a.via.novonet|OC5FEO7LSF3XWRDZBURXQBNSTI|2013-12-08 02:46:00|2013-12-10 03:59:00|PROD
appl094a.via.novonet|WOJITZBCNZUB3ERA3QMQRKRRK4|2013-12-08 03:22:00|2013-12-10 03:59:00|PROD
appl095a.via.novonet|PJJR6ZZ2A6PUGIPAHDK26ULTU4|2013-12-08 03:12:00|2013-12-10 03:59:00|PROD
appl096a.via.novonet|3KAXDPPABN4NSFS5RZ4BCEV3RA|2013-12-08 03:53:00|2013-12-10 03:59:00|RTP
appl097a.via.novonet|SBF5O6WGY2YVZQ5DKIJH5JD7FY|2013-12-08 02:06:00|2013-12-10 03:59:00|
appl104a.via.novonet|OITRM33QZJ2FIAAKX56QNTH27M|2013-12-08 02:12:00|2013-12-10 03:59:00|PROD
appl113a.via.novonet|DDYST7ZPM25VXRA7LVWVTH5CLA|2013-12-08 04:00:00|2013-12-10 03:59:00|PROD
appl116a.via.novonet|2U4DGW5MZFUAAFDHMTJIPNHNTY|2013-12-08 03:07:00|2013-12-10 03:59:00|PROD
appl117a.via.novonet|R2KHAKNDDLPBAXRZYHY2KFUOMU|2013-12-08 03:42:00|2013-12-10 03:59:00|PROD
appl122a.via.novonet|DMRRC4U26SZH3WDAUFIMDXS7LQ|2013-12-08 02:37:00|2013-12-10 03:59:00|
appl128a.via.novonet|3ROXIF5BVOMYYSZ2NXYMUQFEWM|2013-12-08 03:18:00|2013-12-10 03:59:00|PROD
appl130a.via.novonet|KJOWG3MMOTVCZST47OQOZ34XTE|2013-12-08 03:51:00|2013-12-10 03:59:00|PROD
appl135a.via.novonet|Z6RJ4244SMIGM4Y3CCG3GY6IXI|2013-12-08 03:50:00|2013-12-10 03:59:00|PROD
appl137a.via.novonet|ZX4KKGUNHAZ3XNCFVPCCX5WVOA|2013-12-08 03:59:00|2013-12-10 03:59:00|RTP
appl138a.via.novonet|7TNKX7NY6KLQT2YV6OYVF2YZX4|2013-12-08 03:50:00|2013-12-10 03:59:00|
appl141a.via.novonet|4Z5AI6LUHKTEKTHFVZGW7LAJ7U|2013-12-08 02:42:00|2013-12-10 03:59:00|PROD
appl142a.via.novonet|TA4Z625PXRH6HVGKSJXM5YSLDY|2013-12-08 02:41:00|2013-12-10 03:59:00|PROD
appl143a.via.novonet|TQ4V4YICXAINXYH3FN3AQEJBGE|2013-12-08 02:28:00|2013-12-10 03:59:00|
appl145a.via.novonet|ZXE2CZMKPS3W4WP3TUTQ4TBU6Q|2013-12-08 03:07:00|2013-12-10 03:59:00|PROD
