Solution Name|Instance System Name|Instance Solution Name|Instance Name
aviva uk:documentum prd hpg|ukhacn444 cluster.via.novonet|oracle single instance|IDM11P ORADB
aviva uk:documentum uat hpb|ukhacnw06 cluster.via.novonet|oracle single instance|IDM11U ORADB
aviva uk:ads dev hpg|austin cluster.via.novonet|oracle single instance|IEB01D ORADB
aviva uk:ads dev hpg|austin cluster.via.novonet|oracle single instance|IEB01M ORADB
aviva uk:ads prd hpg|austin cluster.via.novonet|oracle single instance|IEB01P ORADB
aviva uk:qds prd hpg|austin cluster.via.novonet|oracle single instance|IEB01P ORADB
aviva uk:wps (ukhe) database prd hpg|austin cluster.via.novonet|oracle single instance|IEB01P ORADB
aviva uk:ads pre hpg|austin cluster.via.novonet|oracle single instance|IEB01R ORADB
aviva uk:ads dev hpg|austin cluster.via.novonet|oracle single instance|IEB01S ORADB
aviva uk:ads dev hpg|austin cluster.via.novonet|oracle single instance|IEB01T ORADB
aviva uk:ads dev hpg|austin cluster.via.novonet|oracle single instance|IEB01U ORADB
aviva uk:oracle fin dev hpb|ukhacnc86 cluster.via.novonet|oracle single instance|IGA03D ORADB
aviva uk:oracle fin prd hpg|ukhacn439 cluster.via.novonet|oracle single instance|IGA60P ORADB
aviva uk:oracle fin dev hpb|ukhacn430 cluster.via.novonet|oracle single instance|IGA61D ORADB
aviva uk:oracle fin pre hpb|ukhacn438 cluster.via.novonet|oracle single instance|IGA62R ORADB
aviva uk:oracle fin dev hpb|ukhacn430 cluster.via.novonet|oracle single instance|IGA68D ORADB
aviva uk:oracle fin dev hpb|ukhacn430 cluster.via.novonet|oracle single instance|IGA75D ORADB
aviva uk:oracle fin legacy prd hpg|invincible cluster.via.novonet|oracle single instance|IGL40P ORADB
aviva uk:oracle fin prd hpg(x)|invincible cluster.via.novonet|oracle single instance|IGL40P ORADB
aviva uk:oracle fin legacy prd hpg|invincible cluster.via.novonet|oracle single instance|IGL42P ORADB
aviva uk:oracle fin prd hpg(x)|invincible cluster.via.novonet|oracle single instance|IGL42P ORADB
aviva uk:oracle fin legacy prd hpg|invincible cluster.via.novonet|oracle single instance|IGL43P ORADB
aviva uk:oracle fin prd hpg(x)|invincible cluster.via.novonet|oracle single instance|IGL43P ORADB
aviva uk:oracle fin legacy prd hpg|invincible cluster.via.novonet|oracle single instance|IGL44P ORADB
aviva uk:oracle fin prd hpg(x)|invincible cluster.via.novonet|oracle single instance|IGL44P ORADB
aviva uk:oracle fin prd hpg|ukhacn439 cluster.via.novonet|oracle single instance|IGL60C ORADB
aviva uk:oracle fin prd hpg|ukhacn439 cluster.via.novonet|oracle single instance|IGL60P ORADB
aviva uk:spearmint reinsurance prd hpg|ukhacn439 cluster.via.novonet|oracle single instance|IGL60P ORADB
aviva uk:oracle fin dev hpb|ukhacn430 cluster.via.novonet|oracle single instance|IGL61D ORADB
aviva uk:oracle fin pre hpb|ukhacn438 cluster.via.novonet|oracle single instance|IGL62C ORADB
aviva uk:oracle fin pre hpb|ukhacn438 cluster.via.novonet|oracle single instance|IGL62R ORADB
aviva uk:oracle fin discoverer uat hpb|ukhacn430 cluster.via.novonet|oracle single instance|IGL63U ORADB
aviva uk:oracle fin isupp uat hpb|ukhacn430 cluster.via.novonet|oracle single instance|IGL63U ORADB
aviva uk:oracle fin uat hpb|ukhacn430 cluster.via.novonet|oracle single instance|IGL63U ORADB
aviva uk:oracle fin tst hpb|ukhacn430 cluster.via.novonet|oracle single instance|IGL64T ORADB
aviva uk:oracle fin tst hpb|ukhacn430 cluster.via.novonet|oracle single instance|IGL65T ORADB
aviva uk:oracle fin dev hpb|ukhacn430 cluster.via.novonet|oracle single instance|IGL66D ORADB
aviva uk:oracle fin dev hpb|ukhacn430 cluster.via.novonet|oracle single instance|IGL67D ORADB
aviva uk:oracle fin dev hpb|ukhacn430 cluster.via.novonet|oracle single instance|IGL68D ORADB
aviva uk:oracle fin dev hpb|ukhacn430 cluster.via.novonet|oracle single instance|IGL69D ORADB
aviva uk:oracle fin discoverer dev hpb|ukhacn430 cluster.via.novonet|oracle single instance|IGL69D ORADB
aviva uk:oracle fin dev hpb|ukhacn430 cluster.via.novonet|oracle single instance|IGL70D ORADB
aviva uk:oracle fin dev hpb|ukhacn430 cluster.via.novonet|oracle single instance|IGL71D ORADB
aviva uk:oracle fin dev hpb|ukhacn430 cluster.via.novonet|oracle single instance|IGL72D ORADB
aviva uk:oracle fin dev hpb|ukhacn430 cluster.via.novonet|oracle single instance|IGL73D ORADB
aviva uk:oracle fin dev hpb|ukhacn430 cluster.via.novonet|oracle single instance|IGL74D ORADB
aviva uk:oracle fin dev hpb|ukhacn430 cluster.via.novonet|oracle single instance|IGL75D ORADB
aviva uk:administrator (ukhe) dev hpb|ukhacnw07 cluster.via.novonet|oracle single instance|IGR11D ORADB
aviva uk:administrator (ukhe) prd hpg|ukhacn451 cluster.via.novonet|oracle single instance|IGR11P ORADB
aviva uk:administrator (ukhe) pre hpg|ukhacn448 cluster.via.novonet|oracle single instance|IGR11R ORADB
aviva uk:administrator (ukhe) dev hpb|ukhacnw07 cluster.via.novonet|oracle single instance|IGR11S ORADB
aviva uk:administrator (ukhe) dev hpb|ukhacnw07 cluster.via.novonet|oracle single instance|IGR11U ORADB
aviva uk:administrator (dbp) dev hpg|ukhacn422 cluster.via.novonet|oracle single instance|IGS01D ORADB
aviva uk:administrator (dbp) prd hpg|ukhacn421 cluster.via.novonet|oracle single instance|IGS01P ORADB
aviva uk:administrator (dbp) dev hpg|ukhacn422 cluster.via.novonet|oracle single instance|IGS01T ORADB
aviva uk:administrator (dbp) uat hpg|ukhacn422 cluster.via.novonet|oracle single instance|IGS01U ORADB
aviva uk:administrator (dbp) dev hpg|ukhacn422 cluster.via.novonet|oracle single instance|IGS02D ORADB
aviva uk:administrator (dbp) dev hpg|ukhacn422 cluster.via.novonet|oracle single instance|IGS03D ORADB
aviva uk:galahad (life) dev hpb|ukhacnw50 cluster.via.novonet|oracle single instance|IGS11D ORADB
aviva uk:grit tst hpg|ukhacnw50 cluster.via.novonet|oracle single instance|IGS11D ORADB
aviva uk:galahad (life) prd hpg|ukhacn33 cluster.via.novonet|oracle single instance|IGS11P ORADB
aviva uk:grit prd hpg|ukhacn33 cluster.via.novonet|oracle single instance|IGS11P ORADB
aviva uk:galahad (life) trn hpb|ukhacnw50 cluster.via.novonet|oracle single instance|IGS11T ORADB
aviva uk:grit tst hpb|ukhacnw50 cluster.via.novonet|oracle single instance|IGS11T ORADB
aviva uk:galahad (life) dev hpb|ukhacnw50 cluster.via.novonet|oracle single instance|IGS11U ORADB
aviva uk:grit tst hpg|ukhacnw50 cluster.via.novonet|oracle single instance|IGS11U ORADB
aviva uk:galahad (life) dev hpb|ukhacnw50 cluster.via.novonet|oracle single instance|IGS12D ORADB
aviva uk:grit tst hpb|ukhacnw50 cluster.via.novonet|oracle single instance|IGS12D ORADB
aviva uk:galahad (life) dev hpb|ukhacnw50 cluster.via.novonet|oracle single instance|IGS13D ORADB
aviva uk:grit tst hpb|ukhacnw50 cluster.via.novonet|oracle single instance|IGS13D ORADB
aviva uk:galahad (life) dev hpb|ukhacnw50 cluster.via.novonet|oracle single instance|IGS14D ORADB
aviva uk:grit tst hpb|ukhacnw50 cluster.via.novonet|oracle single instance|IGS14D ORADB
aviva uk:guidewire claim center prd hpg|ukncsavix601.via.novonet|oracle single instance|IGW01P_C ORADB
aviva uk:guidewire contact manager prd hpg|ukncsavix601.via.novonet|oracle single instance|IGW01P_C ORADB
aviva uk:guidewire policy center prd hpg|ukncsavix601.via.novonet|oracle single instance|IGW01P_C ORADB
aviva uk:guidewire xml data store prd hpg|ukncsavix601.via.novonet|oracle single instance|IGW01P_C ORADB
aviva uk:guidewire claim center prd hpg|uknwsavix601.via.novonet|oracle single instance|IGW01P_W ORADB
aviva uk:guidewire contact manager prd hpg|uknwsavix601.via.novonet|oracle single instance|IGW01P_W ORADB
aviva uk:guidewire policy center prd hpg|uknwsavix601.via.novonet|oracle single instance|IGW01P_W ORADB
aviva uk:guidewire claim center uat hps|uknwsavix100.via.novonet|oracle single instance|IGW01U ORADB
aviva uk:guidewire contact manager uat hps|uknwsavix100.via.novonet|oracle single instance|IGW01U ORADB
aviva uk:guidewire policy center uat hps|uknwsavix100.via.novonet|oracle single instance|IGW01U ORADB
aviva uk:administrator (dc) dev hps|ukhacn436 cluster.via.novonet|oracle single instance|IGY01D ORADB
aviva uk:administrator (dc) dev hps|ukhacn436 cluster.via.novonet|oracle single instance|IGY01F ORADB
aviva uk:administrator (dc) prd hpg|ukhacn437 cluster.via.novonet|oracle single instance|IGY01P ORADB
aviva uk:administrator (dc) pre hps|ukhacn436 cluster.via.novonet|oracle single instance|IGY01R ORADB
aviva uk:administrator (dc) dev hps|ukhacn436 cluster.via.novonet|oracle single instance|IGY01S ORADB
aviva uk:administrator (dc) dev hps|ukhacn436 cluster.via.novonet|oracle single instance|IGY01U ORADB
aviva uk:administrator (dc) dev hps|ukhacn436 cluster.via.novonet|oracle single instance|IGY02D ORADB
aviva uk:administrator (dc) dev hps|ukhacn436 cluster.via.novonet|oracle single instance|IGY02S ORADB
aviva uk:administrator (dc) dev hps|ukhacn436 cluster.via.novonet|oracle single instance|IGY03D ORADB
aviva uk:administrator (dc) dev hps|ukhacn436 cluster.via.novonet|oracle single instance|IGY04D ORADB
aviva uk:administrator (dc) dev hps|ukhacn436 cluster.via.novonet|oracle single instance|IGY05D ORADB
aviva uk:corporate admin system dev hpg|hcorar cluster.via.novonet|oracle single instance|IHC11D ORADB
aviva uk:prms dev hpg|hcorar cluster.via.novonet|oracle single instance|IHC11D ORADB
aviva uk:corporate admin system prd hpg(x)|hcorap cluster.via.novonet|oracle single instance|IHC11P ORADB
aviva uk:prms prd hpg|hcorap cluster.via.novonet|oracle single instance|IHC11P ORADB
aviva uk:radar prd hpg|hcorap cluster.via.novonet|oracle single instance|IHC11P ORADB
aviva uk:corporate admin system trn hpg|hcorar cluster.via.novonet|oracle single instance|IHC11T ORADB
aviva uk:prms trn hpg|hcorar cluster.via.novonet|oracle single instance|IHC11T ORADB
aviva uk:corporate admin system uat hpg|hcorap cluster.via.novonet|oracle single instance|IHC11U ORADB
aviva uk:galahad (gip) dev hpg|hcorar cluster.via.novonet|oracle single instance|IHG11D ORADB
aviva uk:galahad (gip) prd hpg(x)|hcorar cluster.via.novonet|oracle single instance|IHG11P ORADB
aviva uk:galahad (gip) trn hpg|hcorar cluster.via.novonet|oracle single instance|IHG11T ORADB
aviva uk:galahad (gip) uat hpg|hcorar cluster.via.novonet|oracle single instance|IHG11U ORADB
aviva uk:oracle hr discoverer prd hpg|ukhacn432 cluster.via.novonet|oracle single instance|IHR40P ORADB
aviva uk:oracle hr prd hpg|ukhacn432 cluster.via.novonet|oracle single instance|IHR40P ORADB
aviva uk:oracle hr discoverer tst hpb|ukhacn414 cluster.via.novonet|oracle single instance|IHR41S ORADB
aviva uk:oracle hr tst hpb|ukhacn414 cluster.via.novonet|oracle single instance|IHR41S ORADB
aviva uk:oracle hr discoverer tst hpb|ukhacn414 cluster.via.novonet|oracle single instance|IHR42T ORADB
aviva uk:oracle hr tst hpb|ukhacn414 cluster.via.novonet|oracle single instance|IHR42T ORADB
aviva uk:oracle hr discoverer uat hpb|ukhacn414 cluster.via.novonet|oracle single instance|IHR43U ORADB
aviva uk:oracle hr uat hpb|ukhacn414 cluster.via.novonet|oracle single instance|IHR43U ORADB
aviva uk:oracle hr discoverer pre hpb|ukhacn415 cluster.via.novonet|oracle single instance|IHR45R ORADB
aviva uk:oracle hr dev hpb|ukhacn414 cluster.via.novonet|oracle single instance|IHR46D ORADB
aviva uk:oracle hr discoverer dev hpb|ukhacn414 cluster.via.novonet|oracle single instance|IHR46D ORADB
aviva uk:oracle hr dev hpb|ukhacn414 cluster.via.novonet|oracle single instance|IHR48D ORADB
aviva uk:oracle hr discoverer dev hpb|ukhacn414 cluster.via.novonet|oracle single instance|IHR48D ORADB
