Solution Name|Instance System Name|Instance Solution Name|Instance Name
aviva uk:pension tracker (customer) prd hpg|wbihsp02.via.novonet|websphere http server instance|UKLCP_LIVE_WP1_HTTP1
aviva uk:customer portal prd hpg|wbihsp04.via.novonet|websphere http server instance|UKLCP_LIVE_WP1_HTTP2
aviva uk:eee ae opt out prd hpg|wbihsp04.via.novonet|websphere http server instance|UKLCP_LIVE_WP1_HTTP2
aviva uk:pension tracker (customer) prd hpg|wbihsp04.via.novonet|websphere http server instance|UKLCP_LIVE_WP1_HTTP2
aviva uk:customer portal prd hpg|uknwsaviv190.via.novonet|websphere portal|UKLCP_LIVE_WP1_POR_C1_S1
aviva uk:eee ae opt out prd hpg|uknwsaviv190.via.novonet|websphere portal|UKLCP_LIVE_WP1_POR_C1_S1
aviva uk:pension tracker (customer) prd hpg|uknwsaviv190.via.novonet|websphere portal|UKLCP_LIVE_WP1_POR_C1_S1
aviva uk:customer portal prd hpg|uknwsaviv191.via.novonet|websphere portal|UKLCP_LIVE_WP1_POR_C1_S2
aviva uk:eee ae opt out prd hpg|uknwsaviv191.via.novonet|websphere portal|UKLCP_LIVE_WP1_POR_C1_S2
aviva uk:pension tracker (customer) prd hpg|uknwsaviv191.via.novonet|websphere portal|UKLCP_LIVE_WP1_POR_C1_S2
aviva uk:customer portal prd hpg|uknwsaviv190.via.novonet|websphere portal|UKLCP_LIVE_WP1_PSE_C1_S1
aviva uk:eee ae opt out prd hpg|uknwsaviv190.via.novonet|websphere portal|UKLCP_LIVE_WP1_PSE_C1_S1
aviva uk:pension tracker (customer) prd hpg|uknwsaviv190.via.novonet|websphere portal|UKLCP_LIVE_WP1_PSE_C1_S1
aviva uk:customer portal prd hpg|uknwsaviv191.via.novonet|websphere portal|UKLCP_LIVE_WP1_PSE_C2_S1
aviva uk:eee ae opt out prd hpg|uknwsaviv191.via.novonet|websphere portal|UKLCP_LIVE_WP1_PSE_C2_S1
aviva uk:pension tracker (customer) prd hpg|uknwsaviv191.via.novonet|websphere portal|UKLCP_LIVE_WP1_PSE_C2_S1
aviva uk:customer portal prd hpg|uknwsaviv190.via.novonet|websphere portal|UKLCP_LIVE_WP1_WAS_C1_S1
aviva uk:eee ae opt out prd hpg|uknwsaviv190.via.novonet|websphere portal|UKLCP_LIVE_WP1_WAS_C1_S1
aviva uk:pension tracker (customer) prd hpg|uknwsaviv190.via.novonet|websphere portal|UKLCP_LIVE_WP1_WAS_C1_S1
aviva uk:pension tracker (customer) prd hpg|uknwsaviv191.via.novonet|websphere portal|UKLCP_LIVE_WP1_WAS_C1_S2
aviva uk:customer portal prd hpg|ukhacn20 cluster.via.novonet|websphere as instance|UKLCP_LIVE_WP2-DMGR
aviva uk:eee ae opt out prd hpg|ukhacn20 cluster.via.novonet|websphere as instance|UKLCP_LIVE_WP2-DMGR
aviva uk:pension tracker (customer) prd hpg|ukhacn20 cluster.via.novonet|websphere as instance|UKLCP_LIVE_WP2-DMGR
aviva uk:customer portal prd hpg|wbihsp01.via.novonet|websphere http server instance|UKLCP_LIVE_WP2_HTTP1
aviva uk:eee ae opt out prd hpg|wbihsp01.via.novonet|websphere http server instance|UKLCP_LIVE_WP2_HTTP1
aviva uk:pension tracker (customer) prd hpg|wbihsp01.via.novonet|websphere http server instance|UKLCP_LIVE_WP2_HTTP1
aviva uk:customer portal prd hpg|wbihsp03.via.novonet|websphere http server instance|UKLCP_LIVE_WP2_HTTP2
aviva uk:eee ae opt out prd hpg|wbihsp03.via.novonet|websphere http server instance|UKLCP_LIVE_WP2_HTTP2
aviva uk:pension tracker (customer) prd hpg|wbihsp03.via.novonet|websphere http server instance|UKLCP_LIVE_WP2_HTTP2
aviva uk:customer portal prd hpg|ukncsaviv190.via.novonet|websphere portal|UKLCP_LIVE_WP2_POR_C1_S1
aviva uk:eee ae opt out prd hpg|ukncsaviv190.via.novonet|websphere portal|UKLCP_LIVE_WP2_POR_C1_S1
aviva uk:pension tracker (customer) prd hpg|ukncsaviv190.via.novonet|websphere portal|UKLCP_LIVE_WP2_POR_C1_S1
aviva uk:customer portal prd hpg|ukncsaviv191.via.novonet|websphere portal|UKLCP_LIVE_WP2_POR_C1_S2
aviva uk:eee ae opt out prd hpg|ukncsaviv191.via.novonet|websphere portal|UKLCP_LIVE_WP2_POR_C1_S2
aviva uk:pension tracker (customer) prd hpg|ukncsaviv191.via.novonet|websphere portal|UKLCP_LIVE_WP2_POR_C1_S2
aviva uk:customer portal prd hpg|ukncsaviv190.via.novonet|websphere as instance|UKLCP_LIVE_WP2_PSE_C1_S1
aviva uk:eee ae opt out prd hpg|ukncsaviv190.via.novonet|websphere as instance|UKLCP_LIVE_WP2_PSE_C1_S1
aviva uk:pension tracker (customer) prd hpg|ukncsaviv190.via.novonet|websphere as instance|UKLCP_LIVE_WP2_PSE_C1_S1
aviva uk:customer portal prd hpg|ukncsaviv191.via.novonet|websphere as instance|UKLCP_LIVE_WP2_PSE_C2_S1
aviva uk:eee ae opt out prd hpg|ukncsaviv191.via.novonet|websphere as instance|UKLCP_LIVE_WP2_PSE_C2_S1
aviva uk:pension tracker (customer) prd hpg|ukncsaviv191.via.novonet|websphere as instance|UKLCP_LIVE_WP2_PSE_C2_S1
aviva uk:customer portal prd hpg|ukncsaviv190.via.novonet|websphere as instance|UKLCP_LIVE_WP2_WAS_C1_S1
aviva uk:eee ae opt out prd hpg|ukncsaviv190.via.novonet|websphere as instance|UKLCP_LIVE_WP2_WAS_C1_S1
aviva uk:pension tracker (customer) prd hpg|ukncsaviv190.via.novonet|websphere as instance|UKLCP_LIVE_WP2_WAS_C1_S1
aviva uk:customer portal prd hpg|ukncsaviv191.via.novonet|websphere as instance|UKLCP_LIVE_WP2_WAS_C1_S2
aviva uk:eee ae opt out prd hpg|ukncsaviv191.via.novonet|websphere as instance|UKLCP_LIVE_WP2_WAS_C1_S2
aviva uk:pension tracker (customer) prd hpg|ukncsaviv191.via.novonet|websphere as instance|UKLCP_LIVE_WP2_WAS_C1_S2
aviva uk:customer portal prd hpg|ukhacn20 cluster.via.novonet|websphere as instance|UKLCP_LIVE_WPP-DMGR
aviva uk:customer portal prd hpg|ukncsaviv182.via.novonet|websphere http server instance|UKLCP_LIVE_WPP_HTTP1
aviva uk:customer portal prd hpg|ukncsaviv183.via.novonet|websphere http server instance|UKLCP_LIVE_WPP_HTTP2
aviva uk:customer portal prd hpg|ukncsaviv190.via.novonet|websphere portal|UKLCP_LIVE_WPP_POR_C1_S1
aviva uk:customer portal prd hpg|ukncsaviv191.via.novonet|websphere portal|UKLCP_LIVE_WPP_POR_C1_S2
aviva uk:customer portal prd hpg|ukncsaviv190.via.novonet|websphere as instance|UKLCP_LIVE_WPP_PSE_C1_S1
aviva uk:customer portal prd hpg|ukncsaviv191.via.novonet|websphere as instance|UKLCP_LIVE_WPP_PSE_C2_S1
aviva uk:customer portal prd hpg|ukncsaviv190.via.novonet|websphere as instance|UKLCP_LIVE_WPP_WAS_C1_S1
aviva uk:customer portal prd hpg|ukncsaviv191.via.novonet|websphere as instance|UKLCP_LIVE_WPP_WAS_C1_S2
aviva uk:customer portal pre hpg|ukhacn10 cluster.via.novonet|websphere portal|UKLCP_PP_WP1-DMGR
aviva uk:customer portal pre hpg|uknwsaviv163.via.novonet|websphere portal|UKLCP_PP_WP1_POR_C1_S1
aviva uk:customer portal pre hpg|uknwsaviv163.via.novonet|websphere portal|UKLCP_PP_WP1_POR_C1_S2
aviva uk:customer portal pre hpg|uknwsaviv163.via.novonet|websphere as instance|UKLCP_PP_WP1_PSE_C1_S1
aviva uk:customer portal pre hpg|uknwsaviv163.via.novonet|websphere as instance|UKLCP_PP_WP1_PSE_C2_S1
aviva uk:customer portal pre hpg|uknwsaviv163.via.novonet|websphere as instance|UKLCP_PP_WP1_WAS_C1_S1
aviva uk:customer portal pre hpg|uknwsaviv163.via.novonet|websphere wbm|UKLCP_PP_WP1_WAS_C1_S2
aviva uk:customer portal pre hpg|ukhacn10 cluster.via.novonet|websphere portal|UKLCP_PP_WP2-DMGR
aviva uk:customer portal pre hpg|ukncsaviv162.via.novonet|websphere portal|UKLCP_PP_WP2_POR_C1_S1
aviva uk:customer portal pre hpg|ukncsaviv163.via.novonet|websphere portal|UKLCP_PP_WP2_POR_C1_S2
aviva uk:customer portal pre hpg|ukncsaviv162.via.novonet|websphere as instance|UKLCP_PP_WP2_PSE_C1_S1
aviva uk:customer portal pre hpg|ukncsaviv163.via.novonet|websphere as instance|UKLCP_PP_WP2_PSE_C2_S1
aviva uk:customer portal pre hpg|ukncsaviv162.via.novonet|websphere as instance|UKLCP_PP_WP2_WAS_C1_S1
aviva uk:customer portal pre hpg|ukncsaviv163.via.novonet|websphere as instance|UKLCP_PP_WP2_WAS_C1_S2
aviva uk:customer portal sit hpb|uknwsavhp235.via.novonet|tivoli access manager - webseal|UKLCP_SIT_EX_#C235
aviva uk:customer portal tst hpb|uknwsavhp235.via.novonet|tivoli access manager - webseal|UKLCP_SYS_EX_#W235
aviva uk:cvh prd hpg|ukncsaviv159.via.novonet|tivoli access manager - webseal|UKLCVH_PRD_IN_#C159
aviva uk:cvh prv hpg|ukncsaviv159.via.novonet|tivoli access manager - webseal|UKLCVH_PVW_IN_#C159
aviva uk:cvh uat hps|uknwsaviv121.via.novonet|tivoli access manager - webseal|UKLCVH_UAT_IN_#W121
aviva uk:workplace savings hub (sso) pre hps|uknwsavhp233.via.novonet|tivoli access manager - webseal|UKLHB1_PPD_EX_#C233
aviva uk:workplace savings hub (sso) pre hps|uknwsavhp233.via.novonet|tivoli access manager - webseal|UKLHB1_PPD_EX_#W233
aviva uk:workplace savings hub (sso) pre hps|uknwsavhp234.via.novonet|tivoli access manager - webseal|UKLHB1_PPD_EX_#W234
aviva uk:workplace savings hub (sso) pre hpg|wbslr01.via.novonet|tivoli access manager - webseal|UKLHB1_PPD_EX_#WBSLR01
aviva uk:workplace savings hub (sso) pre hpg|wbslr02.via.novonet|tivoli access manager - webseal|UKLHB1_PPD_EX_#WBSLR02
aviva uk:workplace savings hub (sso) pre hpg|wbslr03.via.novonet|tivoli access manager - webseal|UKLHB1_PPD_EX_#WBSLR03
aviva uk:workplace savings hub (sso) pre hpg|wbslr04.via.novonet|tivoli access manager - webseal|UKLHB1_PPD_EX_#WBSLR04
aviva uk:workplace savings hub (sso) prd hpg|wbslp01.via.novonet|tivoli access manager - webseal|UKLHB1_PRD_EX_#WBSLP01
aviva uk:workplace savings hub (sso) prd hpg|wbslp02.via.novonet|tivoli access manager - webseal|UKLHB1_PRD_EX_#WBSLP02
aviva uk:workplace savings hub (sso) prd hpg|wbslp03.via.novonet|tivoli access manager - webseal|UKLHB1_PRD_EX_#WBSLP03
aviva uk:workplace savings hub (sso) prd hpg|wbslp04.via.novonet|tivoli access manager - webseal|UKLHB1_PRD_EX_#WBSLP04
aviva uk:workplace savings hub (sso) prv hpg|wbslp01.via.novonet|tivoli access manager - webseal|UKLHB1_PVW_EX_#WBSLP01
aviva uk:workplace savings hub (sso) prv hpg|wbslp03.via.novonet|tivoli access manager - webseal|UKLHB1_PVW_EX_#WBSLP03
aviva uk:workplace savings hub (sso) sit hps|ukncsaviv121.via.novonet|tivoli access manager - webseal|UKLHB1_SIT_EX_#C121
aviva uk:workplace savings hub (sso) tst hpb|uknwsavhp235.via.novonet|tivoli access manager - webseal|UKLHB1_SYS_EX_#W235
aviva uk:workplace savings hub (sso) uat hps|wbslu02.via.novonet|tivoli access manager - webseal|UKLHB1_UAT_EX_#WBSLU02
aviva uk:investment & protection esb (ukl) prd hpg|ukhacn20 cluster.via.novonet|websphere as instance|UKLINV_LIVE_ESB1-DMGR
aviva uk:investment & protection esb (ukl) prd hpg|uknwsaviv188.via.novonet|websphere esb|UKLINV_LIVE_ESB1_APP_C1.UKLINV_LIVE_ESB1_N1.0
aviva uk:investment & protection esb (ukl) prd hpg|uknwsaviv189.via.novonet|websphere esb|UKLINV_LIVE_ESB1_APP_C1.UKLINV_LIVE_ESB1_N2.0
aviva uk:investment & protection esb (ukl) prd hpg|uknwsaviv184.via.novonet|websphere http server instance|UKLINV_LIVE_ESB1_HTTP1
aviva uk:investment & protection esb (ukl) prd hpg|uknwsaviv185.via.novonet|websphere http server instance|UKLINV_LIVE_ESB1_HTTP2
aviva uk:investment & protection esb (ukl) prd hpg|uknwsaviv188.via.novonet|websphere esb|UKLINV_LIVE_ESB1_ME_C1.UKLINV_LIVE_ESB1_N1.0
aviva uk:investment & protection esb (ukl) prd hpg|uknwsaviv189.via.novonet|websphere esb|UKLINV_LIVE_ESB1_ME_C1.UKLINV_LIVE_ESB1_N2.0
aviva uk:investment & protection esb (ukl) prd hpg|ukhacn20 cluster.via.novonet|websphere as instance|UKLINV_LIVE_ESB2-DMGR
aviva uk:investment & protection esb (ukl) prd hpg|ukncsaviv188.via.novonet|websphere esb|UKLINV_LIVE_ESB2_APP_C1.UKLINV_LIVE_ESB2_N1.0
aviva uk:investment & protection esb (ukl) prd hpg|ukncsaviv189.via.novonet|websphere esb|UKLINV_LIVE_ESB2_APP_C1.UKLINV_LIVE_ESB2_N2.0
aviva uk:investment & protection esb (ukl) prd hpg|ukncsaviv184.via.novonet|websphere http server instance|UKLINV_LIVE_ESB2_HTTP1
aviva uk:investment & protection esb (ukl) prd hpg|ukncsaviv185.via.novonet|websphere http server instance|UKLINV_LIVE_ESB2_HTTP2
aviva uk:investment & protection esb (ukl) prd hpg|ukncsaviv188.via.novonet|websphere esb|UKLINV_LIVE_ESB2_ME_C1.UKLINV_LIVE_ESB2_N1.0
aviva uk:investment & protection esb (ukl) prd hpg|ukncsaviv189.via.novonet|websphere esb|UKLINV_LIVE_ESB2_ME_C1.UKLINV_LIVE_ESB2_N2.0
aviva uk:investment & protection wps (ukl) prd hpg|ukhacn20 cluster.via.novonet|websphere as instance|UKLINV_LIVE_WPS-DMGR
aviva uk:investment & protection wps (ukl) prd hpg|ukhacn29 cluster.via.novonet|websphere process server|UKLINV_LIVE_WPS_BPC_C1.UKLINV_LIVE_WPS_N1.0
aviva uk:investment & protection wps (ukl) prd hpg|ukhacn29 cluster.via.novonet|websphere process server|UKLINV_LIVE_WPS_BPC_C1.UKLINV_LIVE_WPS_N2.0
aviva uk:investment & protection wps (ukl) prd hpg|uknwsaviv186.via.novonet|websphere http server instance|UKLINV_LIVE_WPS_HTTP1
aviva uk:investment & protection wps (ukl) prd hpg|uknwsaviv187.via.novonet|websphere http server instance|UKLINV_LIVE_WPS_HTTP2
aviva uk:investment & protection wps (ukl) prd hpg|ukncsaviv186.via.novonet|websphere http server instance|UKLINV_LIVE_WPS_HTTP3
aviva uk:investment & protection wps (ukl) prd hpg|ukncsaviv187.via.novonet|websphere http server instance|UKLINV_LIVE_WPS_HTTP4
aviva uk:investment & protection wps (ukl) prd hpg|ukhacn29 cluster.via.novonet|websphere process server|UKLINV_LIVE_WPS_ME_C1.UKLINV_LIVE_WPS_N1.0
aviva uk:investment & protection wps (ukl) prd hpg|ukhacn29 cluster.via.novonet|websphere process server|UKLINV_LIVE_WPS_ME_C1.UKLINV_LIVE_WPS_N2.0
aviva uk:investment & protection wps (ukl) prd hpg|ukhacn29 cluster.via.novonet|websphere process server|UKLINV_LIVE_WPS_SUP_C1.UKLINV_LIVE_WPS_N1.0
aviva uk:investment & protection wps (ukl) prd hpg|ukhacn29 cluster.via.novonet|websphere process server|UKLINV_LIVE_WPS_SUP_C1.UKLINV_LIVE_WPS_N2.0
aviva uk:investment & protection esb (ukl) pre hpg|uknwsaviv166.via.novonet|websphere esb|UKLINV_PP_ESB1_APP_C1.UKLINV_PP_ESB1_N1.0
aviva uk:investment & protection esb (ukl) pre hpg|uknwsaviv167.via.novonet|websphere esb|UKLINV_PP_ESB1_APP_C1.UKLINV_PP_ESB1_N2.0
aviva uk:investment & protection esb (ukl) pre hpg|uknwsaviv169.via.novonet|websphere http server instance|UKLINV_PP_ESB1_HTTP1
aviva uk:investment & protection esb (ukl) pre hpg|uknwsaviv170.via.novonet|websphere http server instance|UKLINV_PP_ESB1_HTTP2
aviva uk:investment & protection esb (ukl) pre hpb|uknwsaviv162.via.novonet|websphere as instance|UKLINV_PP_ESB1_ME_C1.UKLINV_PP_ESB1_N1.0
aviva uk:investment & protection esb (ukl) pre hpg|uknwsaviv167.via.novonet|websphere esb|UKLINV_PP_ESB1_ME_C1.UKLINV_PP_ESB1_N2.0
aviva uk:investment & protection esb (ukl) pre hpg|ukncsaviv166.via.novonet|websphere esb|UKLINV_PP_ESB2_APP_C1.UKLINV_PP_ESB2_N1.0
aviva uk:investment & protection esb (ukl) pre hpg|ukncsaviv167.via.novonet|websphere esb|UKLINV_PP_ESB2_APP_C1.UKLINV_PP_ESB2_N2.0
aviva uk:investment & protection esb (ukl) pre hpg|ukncsaviv169.via.novonet|websphere http server instance|UKLINV_PP_ESB2_HTTP1
aviva uk:investment & protection esb (ukl) pre hpg|ukncsaviv170.via.novonet|websphere http server instance|UKLINV_PP_ESB2_HTTP2
aviva uk:investment & protection esb (ukl) pre hpg|ukncsaviv166.via.novonet|websphere esb|UKLINV_PP_ESB2_ME_C1.UKLINV_PP_ESB2_N1.0
aviva uk:investment & protection esb (ukl) pre hpg|ukncsaviv167.via.novonet|websphere esb|UKLINV_PP_ESB2_ME_C1.UKLINV_PP_ESB2_N2.0
aviva uk:investment & protection esb (ukl) pre hpb|uknwsavix322.via.novonet|websphere as instance|UKLINV_PP_PSR701-DMGR
aviva uk:investment & protection esb (ukl) pre hpb|uknwsavix327.via.novonet|websphere as instance|UKLINV_PP_PSR701_APP_C1_S1
aviva uk:investment & protection esb (ukl) pre hpb|uknwsavix328.via.novonet|websphere as instance|UKLINV_PP_PSR701_APP_C1_S2
aviva uk:investment & protection esb (ukl) pre hpb|uknwsavix323.via.novonet|websphere as instance|UKLINV_PP_PSR701_HTTP1
aviva uk:investment & protection esb (ukl) pre hpb|uknwsavix324.via.novonet|websphere as instance|UKLINV_PP_PSR701_HTTP2
aviva uk:investment & protection esb (ukl) pre hpb|uknwsavix327.via.novonet|websphere as instance|UKLINV_PP_PSR701_ME_C1_S1
aviva uk:investment & protection esb (ukl) pre hpb|uknwsavix328.via.novonet|websphere as instance|UKLINV_PP_PSR701_ME_C1_S2
aviva uk:investment & protection esb (ukl) pre hpb|ukncsavix313.via.novonet|websphere as instance|UKLINV_PP_PSR702-DMGR
aviva uk:investment & protection esb (ukl) pre hpb|ukncsavix318.via.novonet|websphere as instance|UKLINV_PP_PSR702_APP_C1_S1
aviva uk:investment & protection esb (ukl) pre hpb|ukncsavix319.via.novonet|websphere as instance|UKLINV_PP_PSR702_APP_C1_S2
aviva uk:investment & protection esb (ukl) pre hpb|ukncsavix314.via.novonet|websphere as instance|UKLINV_PP_PSR702_HTTP1
aviva uk:investment & protection esb (ukl) pre hpb|ukncsavix315.via.novonet|websphere as instance|UKLINV_PP_PSR702_HTTP2
aviva uk:investment & protection esb (ukl) pre hpb|ukncsavix318.via.novonet|websphere as instance|UKLINV_PP_PSR702_ME_C1_S1
aviva uk:investment & protection esb (ukl) pre hpb|ukncsavix319.via.novonet|websphere as instance|UKLINV_PP_PSR702_ME_C1_S2
aviva uk:investment & protection wps (ukl) pre hpg|uknwsaviv171.via.novonet|websphere http server instance|UKLINV_PP_WPS_HTTP1
aviva uk:investment & protection wps (ukl) pre hpg|uknwsaviv172.via.novonet|websphere http server instance|UKLINV_PP_WPS_HTTP2
aviva uk:investment & protection wps (ukl) pre hpg|ukncsaviv171.via.novonet|websphere http server instance|UKLINV_PP_WPS_HTTP3
aviva uk:investment & protection wps (ukl) pre hpg|ukncsaviv172.via.novonet|websphere http server instance|UKLINV_PP_WPS_HTTP4
aviva uk:investment & protection esb (ukl) prv hpb|uknwsavix320.via.novonet|websphere as instance|UKLINV_PVW2_PSR701-DMGR
aviva uk:investment & protection esb (ukl) prv hpb|uknwsavix320.via.novonet|websphere as instance|UKLINV_PVW2_PSR701_APP_C1_S1
aviva uk:investment & protection esb (ukl) prv hpb|uknwsavix320.via.novonet|websphere http server instance|UKLINV_PVW2_PSR701_HTTP1
aviva uk:investment & protection esb (ukl) prv hpb|uknwsavix320.via.novonet|websphere as instance|UKLINV_PVW2_PSR701_ME_C1_S1
aviva uk:investment & protection esb (ukl) prv hps|ukncsaviv202.via.novonet|websphere esb|UKLINV_PVW_ESB-DMGR
aviva uk:investment & protection esb (ukl) prv hps|ukncsaviv202.via.novonet|websphere esb|UKLINV_PVW_ESB_APP_C1.UKLINV_PVW_ESB_N1.0
aviva uk:investment & protection esb (ukl) prv hps|ukncsaviv202.via.novonet|websphere http server instance|UKLINV_PVW_ESB_HTTP
aviva uk:investment & protection esb (ukl) prv hps|ukncsaviv202.via.novonet|websphere esb|UKLINV_PVW_ESB_ME_C1.UKLINV_PVW_ESB_N1.0
aviva uk:investment & protection wps (ukl) prv hps|ukncsaviv203.via.novonet|websphere process server|UKLINV_PVW_WPS_BPC_C1.UKLINV_PVW_WPS_N1.0
aviva uk:investment & protection esb (ukl) sit hps|ukncsaviv112.via.novonet|websphere esb|UKLINV_SIT_ESB_APP_C1.UKLINV_SIT_ESB_N1.0
aviva uk:investment & protection esb (ukl) uat hps|uknwsaviv141.via.novonet|websphere esb|UKLINV_UAT_ESB_APP_C1.UKLINV_UAT_ESB_N1.0
aviva uk:internal portal prd hpg|ukncsaviv159.via.novonet|tivoli access manager - webseal|UKLIP_INT_PRD_IN_#C159
aviva uk:internal portal prd hpg|ukhacn20 cluster.via.novonet|websphere as instance|UKLIP_LIVE_WCM-DMGR
aviva uk:internal portal prd hpg|uknwsaviv182.via.novonet|websphere http server instance|UKLIP_LIVE_WCM_HTTP1
aviva uk:internal portal prd hpg|uknwsaviv183.via.novonet|websphere http server instance|UKLIP_LIVE_WCM_HTTP2
aviva uk:internal portal prd hpg|uknwsaviv190.via.novonet|websphere portal|UKLIP_LIVE_WCM_POR_C1_S1
aviva uk:internal portal prd hpg|uknwsaviv191.via.novonet|websphere portal|UKLIP_LIVE_WCM_POR_C1_S2
aviva uk:internal portal prd hpg|ukhacn20 cluster.via.novonet|websphere as instance|UKLIP_LIVE_WP1-DMGR
aviva uk:internal portal prd hpg|wbihsp02.via.novonet|websphere http server instance|UKLIP_LIVE_WP1_HTTP1
aviva uk:internal portal prd hpg|wbihsp04.via.novonet|websphere http server instance|UKLIP_LIVE_WP1_HTTP2
aviva uk:internal portal prd hpg|uknwsaviv190.via.novonet|websphere portal|UKLIP_LIVE_WP1_POR_C1_S1
aviva uk:internal portal prd hpg|uknwsaviv191.via.novonet|websphere portal|UKLIP_LIVE_WP1_POR_C1_S2
aviva uk:internal portal prd hpg|uknwsaviv190.via.novonet|websphere portal|UKLIP_LIVE_WP1_PSE_C1_S1
aviva uk:internal portal prd hpg|uknwsaviv191.via.novonet|websphere portal|UKLIP_LIVE_WP1_PSE_C2_S1
aviva uk:internal portal prd hpg|uknwsaviv190.via.novonet|websphere portal|UKLIP_LIVE_WP1_WAS_C1_S1
aviva uk:internal portal prd hpg|uknwsaviv191.via.novonet|websphere portal|UKLIP_LIVE_WP1_WAS_C1_S2
aviva uk:internal portal prd hpg|ukhacn20 cluster.via.novonet|websphere as instance|UKLIP_LIVE_WP2-DMGR
aviva uk:internal portal prd hpg|wbihsp01.via.novonet|websphere http server instance|UKLIP_LIVE_WP2_HTTP1
aviva uk:internal portal prd hpg|wbihsp03.via.novonet|websphere http server instance|UKLIP_LIVE_WP2_HTTP2
aviva uk:internal portal prd hpg|ukncsaviv190.via.novonet|websphere portal|UKLIP_LIVE_WP2_POR_C1_S1
aviva uk:internal portal prd hpg|ukncsaviv191.via.novonet|websphere portal|UKLIP_LIVE_WP2_POR_C1_S2
aviva uk:internal portal prd hpg|ukncsaviv190.via.novonet|websphere as instance|UKLIP_LIVE_WP2_PSE_C1_S1
aviva uk:internal portal prd hpg|ukncsaviv191.via.novonet|websphere as instance|UKLIP_LIVE_WP2_PSE_C2_S1
aviva uk:internal portal prd hpg|ukncsaviv190.via.novonet|websphere as instance|UKLIP_LIVE_WP2_WAS_C1_S1
aviva uk:internal portal prd hpg|ukncsaviv191.via.novonet|websphere as instance|UKLIP_LIVE_WP2_WAS_C1_S2
aviva uk:internal portal prd hpg|ukhacn20 cluster.via.novonet|websphere as instance|UKLIP_LIVE_WPP-DMGR
aviva uk:internal portal prd hpg|ukncsaviv182.via.novonet|websphere http server instance|UKLIP_LIVE_WPP_HTTP1
aviva uk:internal portal prd hpg|ukncsaviv183.via.novonet|websphere http server instance|UKLIP_LIVE_WPP_HTTP2
aviva uk:internal portal prd hpg|ukncsaviv190.via.novonet|websphere portal|UKLIP_LIVE_WPP_POR_C1_S1
aviva uk:internal portal prd hpg|ukncsaviv191.via.novonet|websphere portal|UKLIP_LIVE_WPP_POR_C1_S2
aviva uk:internal portal prd hpg|ukncsaviv190.via.novonet|websphere as instance|UKLIP_LIVE_WPP_PSE_C1_S1
aviva uk:internal portal prd hpg|ukncsaviv191.via.novonet|websphere as instance|UKLIP_LIVE_WPP_PSE_C2_S1
aviva uk:internal portal prd hpg|ukncsaviv190.via.novonet|websphere as instance|UKLIP_LIVE_WPP_WAS_C1_S1
aviva uk:internal portal prd hpg|ukncsaviv191.via.novonet|websphere as instance|UKLIP_LIVE_WPP_WAS_C1_S2
aviva uk:internal portal pre hpg|ukhacn10 cluster.via.novonet|websphere portal|UKLIP_PP_WP1-DMGR
aviva uk:internal portal pre hpg|uknwsaviv163.via.novonet|websphere portal|UKLIP_PP_WP1_POR_C1_S2
aviva uk:internal portal pre hpg|uknwsaviv163.via.novonet|websphere as instance|UKLIP_PP_WP1_PSE_C1_S1
aviva uk:internal portal pre hpg|uknwsaviv163.via.novonet|websphere as instance|UKLIP_PP_WP1_PSE_C2_S1
aviva uk:internal portal pre hpg|uknwsaviv163.via.novonet|websphere as instance|UKLIP_PP_WP1_WAS_C1_S1
aviva uk:internal portal pre hpg|ukncsaviv162.via.novonet|websphere portal|UKLIP_PP_WP2_POR_C1_S1
aviva uk:internal portal pre hpg|ukncsaviv163.via.novonet|websphere portal|UKLIP_PP_WP2_POR_C1_S2
aviva uk:internal portal pre hpg|ukncsaviv162.via.novonet|websphere as instance|UKLIP_PP_WP2_PSE_C1_S1
aviva uk:internal portal pre hpg|ukncsaviv163.via.novonet|websphere as instance|UKLIP_PP_WP2_PSE_C2_S1
aviva uk:internal portal pre hpg|ukncsaviv162.via.novonet|websphere as instance|UKLIP_PP_WP2_WAS_C1_S1
aviva uk:internal portal pre hpg|ukncsaviv163.via.novonet|websphere as instance|UKLIP_PP_WP2_WAS_C1_S2
aviva uk:internal portal uat hps|uknwsaviv121.via.novonet|tivoli access manager - webseal|UKLIP_UAT_IN_#W121
aviva uk:origo (webseal) dev hps|uknwsaviv121.via.novonet|tivoli access manager - webseal|UKLMSG_DEV_EX_#W121
aviva uk:origo (webseal) pre hps|uknwsavhp233.via.novonet|tivoli access manager - webseal|UKLMSG_PPD_EX_#C233
aviva uk:origo (webseal) pre hps|uknwsavhp233.via.novonet|tivoli access manager - webseal|UKLMSG_PPD_EX_#W233
aviva uk:origo (webseal) pre hpg|wbslr01.via.novonet|tivoli access manager - webseal|UKLMSG_PPD_EX_#WBSLR01
aviva uk:origo (webseal) pre hpg|wbslr02.via.novonet|tivoli access manager - webseal|UKLMSG_PPD_EX_#WBSLR02
aviva uk:origo (webseal) pre hpg|wbslr03.via.novonet|tivoli access manager - webseal|UKLMSG_PPD_EX_#WBSLR03
aviva uk:origo (webseal) pre hpg|wbslr04.via.novonet|tivoli access manager - webseal|UKLMSG_PPD_EX_#WBSLR04
